"What'd I Say"	《我剛說啥》
You've already paid for the apple once--and a princely sum, at that.	你已經付過這顆蘋果的錢了——而且還是天價。
You show your genuine vinyl-style wallet to the ring, but it doesn't respond.	你把你那個「純正塑膠皮」錢包秀給戒指看，但它沒反應。
Seeking that "leatherette" taste, you foolishly dip your wallet in the whiskey.	為了追求那股「人造皮」的味道，你蠢蛋似地把錢包泡進威士忌裡。
The remote control has no use for your wallet.	遙控器對你的錢包沒興趣。
You offer to pay Rose, but it humbly declines.	你想拿錢包打賞玫瑰，但它客氣地婉拒了。
No, no, no! That's not what lubbers are for!	不、不、不！「雨鞋」可不是這樣用的啦！
Your wallet won't fit in the candy box.	你的錢包塞不進糖果盒。
The disco pass is already paid for.	迪斯可通行證已經付過錢了。
The pocket knife seems unimpressed with your wallet.	小刀對你的錢包一點興趣都沒有。
You foolishly dip your wallet into the wine.	你蠢蛋似地把錢包泡進酒裡。
The girls in the magazine are mightily impressed with your manly, bulging wallet.	雜誌上的女孩們，對你那鼓鼓的男人味錢包，佩服得五體投地。
There's no need to put the wallet on the hammer.	沒必要把錢包放在錘子上。
Try as you might, you can't stuff the wallet into the pill container.	任你再怎麼塞，錢包就是塞不進藥瓶。
You show the wallet to the ribbon, but (strange but true) it doesn't respond.	你把錢包秀給緞帶看，但（說也奇怪）它沒反應。
You place the graffiti in your wallet (but it still shows up here!).	你把塗鴉塞進錢包（但它還是會顯示在這裡！）。
Don't waste precious breath spray on your wallet.	別把珍貴的口氣噴霧浪費在錢包上。
Yep. It's your breath spray.	沒錯，這就是你的口氣噴霧。
A little breath spray makes even the cheapest watch shine like gold (plate).	噴點口氣噴霧，連最廉價的手錶都能閃得像鍍金一樣。
The apple was previously well-sprayed with an assortment of interesting chemical compounds.	這顆蘋果之前已經被各種有趣的化學藥劑噴得夠徹底了。
That ought to kill the taste of Lefty's sink!	這樣應該能蓋掉老左酒吧那水槽的怪味了！
No amount of breath spray will help the taste of this stuff.	再多口氣噴霧也救不了這玩意兒的味道。
The remote control's keys are sticky enough already.	遙控器的按鈕已經夠黏的了。
The rose smells good enough already.	玫瑰已經夠香了。
Your breath spray will clash with that natural minty taste of latex.	你的口氣噴霧，會跟那乳膠製品天然的薄荷味互相衝突。
The candy smells great just the way it is.	糖果本身的味道已經夠讚了。
Perhaps you should use the breath spray AT the disco instead!	也許你該留著口氣噴霧，到迪斯可現場再用吧！
It's pointless to freshen your knife's breath, let alone its width!	幫小刀「清新口氣」根本沒意義，更別提它的「寬度」了！
Mmm, Chablis with a hint of wintergreen! You may have something there.	嗯～夏布利白酒帶點冬青薄荷香，你可能歪打正著了。
Better not, the pages are sticky enough already.	還是別了，書頁已經夠黏的了。
Now the hammer is minty fresh.	現在錘子聞起來清涼薄荷味十足。
That would ruin the wonderful medicinal flavor of the pills.	那樣會毀了藥丸那美妙的藥味。
Yeah, great idea.	是喔，好主意。
You'd better not; you don't want to smear your writing.	還是別了；你不會想把你寫的字弄糊掉。
Your watch won't fit in your already bulging wallet.	你的手錶塞不進已經鼓鼓的錢包。
Your breath spray couldn't care less what time it is.	你的口氣噴霧根本懶得管現在幾點。
Pretty clever! "Watch the apple!!"	有梗喔！這算是「手錶站崗顧蘋果」吧！！
The expensive ring, seeing your cheap watch, exudes a strong sense of superiority.	那只名貴的戒指，看到你那支廉價手錶，整個散發出高人一等的優越感。
You dip your watch in the whiskey, then give it a licking, yet it keeps on ticking!	你把手錶浸進威士忌，還舔了一口——不愧是「愈操愈耐操」的錶，還在滴答滴答！
Is there something good to "watch" on TV, Larry?	電視上有什麼好「看」的嗎，賴瑞？
So you want to time the rose?	所以你想幫玫瑰計時喔？
That should make your cheap watch waterproof!	這樣應該能讓你那支廉價手錶防水了！
Hiding your watch in the box of candy won't get you anywhere.	把手錶藏進糖果盒，也不會有什麼用。
The pass couldn't be less interested.	通行證完全沒興趣。
To a pocketknife, time is relative.	對一把小刀來說，時間是相對的。
You idiotically dip your watch into the wine. How much punishment can these things take?	你像白痴一樣把手錶泡進酒裡。這玩意兒到底能撐多少折騰啊？
Almost time to buy the next issue!	差不多該買下一期了！
The hammer doesn't want to watch.	錘子沒興趣「看」。
The watch won't fit into the little pill container.	手錶塞不進那個小藥瓶。
You attempt to measure the length of the ribbon with your watch, and find it's about 30 seconds long!	你想用手錶量緞帶的長度，結果量出「30 秒長」！
What a stupid thing to try.	這招也太蠢了吧。
The apple won't fit in your already-bulging wallet.	蘋果塞不進你已經鼓鼓的錢包。
"Warning: do not try to puncture the breath spray with an apple."	「警告：請勿嘗試用蘋果戳破口氣噴霧罐。」
The watch concentrates on keeping time and ignores your apple.	手錶一心一意在計時，懶得理你的蘋果。
This Red Delicious is not suitable for your Granny Smith, but someone else might find it appropriate.	這顆五爪蘋果跟你的青蘋果不搭嘎，不過別人可能覺得挺速配的。
No, the apple doesn't fit through the ring.	不行，蘋果穿不過戒指。
You fruitlessly attempt to wedge the apple into the whiskey glass.	你徒勞無功（果然很「沒果」）地想把蘋果塞進威士忌杯。
Having no infrared circuitry, the apple fails to interface with the remote control.	蘋果沒有紅外線電路，沒辦法跟遙控器搭上線。
The apple and the rose, two of nature's most perfect creations. So what?	蘋果和玫瑰，大自然最完美的兩件傑作。那又怎樣？
The apple already has a protective skin. Don't bite either one!	蘋果本身就有保護皮了。這兩個都別咬！
The apple won't fit in the candy box.	蘋果塞不進糖果盒。
The disco pass prefers saltier snacks.	迪斯可通行證比較愛鹹的零食。
There's no need to peel the apple.	沒必要削蘋果皮。
Larry, it's pears in tequila bottles, not apples in wine boxes.	賴瑞，龍舌蘭酒瓶裡泡的是梨子，不是葡萄酒盒裡塞蘋果啦。
Seeing the melons on the front of that magazine, the apple develops an inferiority complex.	看到雜誌封面上那對「哈密瓜」，蘋果頓時自卑了起來。
Applesauce. Good idea.	蘋果醬啊，好主意。
You try to core the apple with the pill bottle, but are unable to remove the child safety lid!	你想用藥瓶挖掉蘋果核，但打不開兒童安全蓋！
"Tie a pink ribbon round your old apple..." Nah. That just doesn't make it, Larry.	「幫你的老蘋果繫條粉紅緞帶…」不行啦，這樣不行，賴瑞。
The apple is shocked and confused by the strange graffiti.	蘋果被這詭異的塗鴉嚇得一頭霧水。
The breathspray looks at the ring in surprise! "Why, this is so sudden!"	口氣噴霧驚訝地看著戒指！「哎呀，這也太突然了吧！」
If clocks chime, do watches "ring?"	時鐘敲鐘會噹噹響，那手錶戴上戒指，該不會也想叮一聲吧？
Putting the ring in the apple might spoil its lustrous shine! (The apple's, that is!)	把戒指放進蘋果，可能會毀了它那閃亮的光澤！（是說蘋果的啦！）
When you gaze deep into the diamond, you seem to hear the sound of wedding bells, and maybe diesel trucks.	你凝視鑽石深處，彷彿聽見婚禮鐘聲——搞不好還有柴油卡車的引擎聲。
Checking for dissolvable solids, you dip the ring into the whiskey. Nothing happens.	為了檢查有沒有可溶固體，你把戒指泡進威士忌。什麼事都沒發生。
Just for fun, you use the ring to press some buttons on the remote control.	純粹好玩，你用戒指按了幾下遙控器的按鈕。
It's no use, the rose is already engaged to some pansy.	沒用的，玫瑰早就跟某朵「三色堇」訂婚了。
That's a creative way to give someone a ring.	這方法還真有創意，這樣「求婚」喔。
You smear chocolate all over the ring, then lick it all off. Was that fun or what?	你把巧克力抹滿整只戒指，然後全部舔乾淨。爽吧，是不是？
The disco pass has no use for the ring.	迪斯可通行證對戒指沒轍。
You rub the diamond on the blade of your pocket knife and sharpen it ever so slightly.	你用鑽石磨小刀的刀刃，稍微磨利了一點點。
Using the diamond, you scratch your initials into the cardboard box of wine.	你用鑽石在酒盒的紙箱上刻下自己的名字縮寫。
These are only photographs of girls, Larry. None of them will marry you.	這些不過是女孩的照片，賴瑞。沒有一個會嫁給你的。
The ring won't fit on the hammer.	戒指套不進錘子。
Don't put the ring in with the pills. You might accidentally swallow it.	別把戒指跟藥丸放一起，你可能不小心吞下去。
Your ribbon WOULD look sweet with a cute little bow, but you decide to save the ribbon to use elsewhere.	你的緞帶打個可愛蝴蝶結是真的會很好看，但你決定留著它，之後另有用途。
The ring read the graffiti while it was sitting on the sink.	戒指放在水槽上時，順便看了一下那塗鴉。
Your wallet is stained enough already.	你的錢包已經夠髒的了。
You don't really want "Morning in the Distillery" breath?	你該不會真想要一口「酒廠清晨」味的口氣吧？
You drop a little whiskey on your watch, just to clean the crystal.	你滴了點威士忌在手錶上，純粹想擦亮錶面水晶。
Is whiskey and apples an old family recipe?	威士忌配蘋果，是你家的傳家秘方喔？
You dribble a bit of whiskey onto the ring, hoping to kill the germs from the bathroom sink.	你滴了點威士忌在戒指上，希望能殺死浴室水槽上沾到的細菌。
There is a strong odor of petroleum by-products coming from this glass.	這杯子散發出一股濃烈的石化製品味道。
"I'll bet a little whiskey would make that remote control more powerful," you conjecture mistakenly.	「我賭一點威士忌，能讓這遙控器功力大增，」你異想天開地猜測。
If the rose isn't already dead, that rotgut will put it out of its misery.	如果玫瑰還沒死透，這杯劣酒絕對能讓它一了百了。
Nobody's going to want to drink the whiskey after you've poured it in THERE!	你倒進「那個地方」以後，沒人還會想喝這杯威士忌了！
The candy is already well-soaked.	糖果已經夠濕透的了。
You dribble a little whiskey on the pass to remove that "never used" sheen.	你滴了點威士忌在通行證上，想去掉那股「從沒用過」的新品光澤。
Don't you know? Whiskey and weapons don't mix!	你不知道嗎？威士忌跟武器可不能混在一起！
Yes, a good malt Chablis is tough to find.	沒錯，一支好喝的「麥芽夏布利」還真是可遇不可求。
That will only make the pages even more sticky.	那只會讓書頁更黏而已。
