Another boring %s	又是無聊的 %s
"Oh, John." "Oh, Marsha."  "OH, John." "OH, Marsha."  "Oh, JOHN!" "Oh, MARSHA!"  "OH, JOHN!!" "OH, MARSHA!!"	「喔，John。」「喔，Marsha。」「喔，John。」「喔，Marsha。」「喔，JOHN！」「喔，MARSHA！」「喔，JOHN！！」「喔，MARSHA！！」
"Hello, friend, this is your ol' buddy Tom Bidet for Motel-69. If you're driving down the highway of life towards ol' Lost Wages and Mr. Sleepy's sitting up on the dashboard throwing dust in your eyes..."	「哈囉，朋友，我是你的老朋友 Tom Bidet，這裡是 Motel-69 為您服務。要是你正開在人生的高速公路上，直奔失樂城，瞌睡蟲又在儀表板上朝你眼睛猛撒沙……」
"...and now, ALoHa Productions is proud to present `The Revenge of the Software Developers' in full color and stereo sound..."	「……現在，ALoHa 製片廠榮幸呈獻全彩立體聲大作《軟體工程師的復仇》……」
musical comedy.	音樂喜劇。
"...while Jim is fighting for his life with the raging female rhinoceros in heat, I'll slip into my tent with the native girl and this pitcher of Mai Tais..."	「……就在 Jim 跟那頭發情母犀牛拚死搏鬥的同時，我要溜進帳篷，跟當地女孩還有這壺邁泰調酒好好『敘敘舊』……」
"...it's a beautiful day in the neighbor..."	「……今天是美好的一天，在這附……」
No, no!! Anything but that!	不要，不要！什麼都好，就是不要那個！
"...live from Malaga, California, it's the Cable Sports Network presentation of the Miniature Female Mud Wrestlers 500-Kilometer Cross-Country Nude Bicycle Race..."	「……來自加州馬拉加現場直播，有線體育台為您呈現《迷你女子泥漿摔角手 500 公里越野裸體自行車大賽》……」
cable sports show.	有線體育節目。
"...And next, Master Piece Theatre presents a special 3-D broadcast of `Naugahyde Goddesses of Oakhurst!'"	「……接下來，大師劇院為您呈獻 3D 特別放送《橡樹林人造皮女神！》……」
educational show.	教育節目。
"...oh, baby, yeah. Yeah, I love it when you do that! Ooooooooooh!! That hurts so good, pull it out a little deeper!!!"	「……噢，寶貝，對，就是這樣，我愛死你這樣搞了！噢噢噢噢！！這麼痛快，再深一點拔出來！！！」
nothing	什麼都沒有
Until now, you were unsure of how a "professional," would look.	一直到現在，你都還不確定「專業人士」長什麼樣。
Now you know.	現在你知道了。
(You were happier before!)	（你之前比較快樂！）
"This is your favorite part, ain' it, Honey?"	「這是你最愛的橋段吧，甜心？」
"Nice mandibles," you offer.	「大顎不錯喔，」你搭話。
"You don' think I'm saggy?" she replies, no Rhodes scholar.	「你不覺得我垂了嗎？」她答，明顯不是什麼高材生。
She says, "Sorry, Mister, but all you gets is `Straight Ahead' wit' me."	她說：「歹勢啦，先生，跟我只能玩『直來直往』。」
Sniffing the air, you're suddenly hungry for tuna.	你吸了吸鼻子，突然好想吃鮪魚。
You are in the hooker's seedy bedroom. The room's a mess, ditto the hooker!	你在妓女那間破爛臥室裡。房間亂七八糟，人也是！
Your ribbon is not long enough to reach outside.	你的緞帶不夠長，搆不到外面。
"Come on, my big stud-muffin! Come to Mama!"	「來嘛，我的大種馬！快來媽咪這邊！」
You're really proud of your man-like chest.	你對自己那副男子漢胸膛還真是自豪。
Not again! A guy can only take so much!!	又來？！男人也是有極限的好嗎！！
You already are wearing your "lubber."	你已經戴好你那個「小雨衣」了。
Now's a great time to think of that! A little late now, isn't it, Larry?	現在才想到？賴瑞，你這也太晚了吧？
With your pants still on?	褲子都還沒脫？
With all your clothes on?	衣服都還穿在身上？
Yep! This would be a perfect time! Your Surgeon General is proud!	沒錯！時機正好！衛生署都會為你感到驕傲！
Ahh. That feels better.	啊，舒服多了。
"Jeez, Mister!" cries the hooker, "What've you been eating? Buffalo chips???"	「天啊，先生！」妓女尖叫，「你都吃些什麼啊？牛糞餅乾嗎？？？」
She certainly seems to enjoy that gum.	她似乎真的很享受那口香糖。
Although successful, you feel less than satisfied. Technically speaking, you're no longer a virgin, but for some reason, the thrill just wasn't there. You vow to continue your quest until you please your heart, not just your other organs!	雖然「成功」了，你卻覺得空虛。嚴格說來你已經不是處男，但不知為何，那股悸動就是沒出現。你發誓要繼續尋覓，直到取悅的是你的心，而不只是身體其他部位！
It's a good thing you were wearing your raincoat!	還好你有穿雨衣！
She seems more interested in that cigarette than she was in you.	她似乎對那根菸的興趣比對你還大。
NOW!? You've come this far, Larry; now's the time to do more than just look!	現在！？賴瑞，你都走到這一步了，現在不能光用看的！
"Was it good for you, baby?" you ask her.	「爽嗎，寶貝？」你問她。
"Was what good?" she replies.	「什麼爽？」她回答。
"So," she snarls, "you just gonna stand there, or what?"	「所以呢，」她沒好氣地說，「你是要一直站在那，還是怎樣？」
From here, her perfume smells cheap and overpowering.	從這裡聞，她的香水又廉價又衝鼻。
(Also from the next county, you suppose!)	（大概隔壁鄉鎮都聞得到吧，你猜！）
"I don' need dat, Honey. Didn't ju pay downstairs?"	「不用那個啦，甜心，你不是在樓下付過錢了？」
"Dat's right, Honey," she gums, "yore time's runnin' out."	「沒錯，甜心，」她癟著嘴說，「你的時間快到了。」
"No commitments, Honey. This is a biz'nus deal!"	「別談什麼承諾了，甜心。這純粹是筆生意！」
"You jes' gonna stand there and play with your li'l remote?"	「你就打算站在那玩你的小遙控器喔？」
"Yeah, them's a good idea. Lemme see that'n. Well, how 'bout dat! I didn't know they came in `Extra Small!'"	「嗯，這主意不錯。給我瞧瞧。哎呀，這是怎樣！我都不知道還有出『特迷你』尺寸的咧！」
"Naw, Nuggie, none for me. But I jes' had me a john that gimme a box a' candy jus' like that'n."	「免啦，寶貝，我不要。不過我剛才有個客人才送我一模一樣的糖果咧。」
"Why waste yore time at the disco? We kin do the horizontal bop right here!"	「幹嘛浪費時間跑迪斯可？咱們在這就能『躺著搖』啦！」
"Honey, dinner an' drinks ain' necessary here!"	「甜心，這裡吃飯喝酒都是多餘的！」
"I've seen better!"	「我看過更讚的！」
"I hardly need extrinsic motivation!"	「我才不需要什麼外部刺激咧！」
"No S. and M. here, buddy!"	「這兒不玩什麼SM那套喔，老兄！」
"Honey, you don' need no knife. You can assault me with YORE deadly weapon!"	「甜心，你不用刀啦，你自己就有致命武器可以攻擊我了！」
"He did? Ain't he the sweetest? He's always sendin' me bizness!"	「他有喔？他人真是貼心！總是介紹生意給我！」
"Say, Honey-chil', whacha come up here for--bartering?"	「說啊，小甜心，你上來是要幹嘛——以物易物喔？」
What smoldering eyes!	好一雙勾魂電眼！
Look out! It's the "Jaws of Life!"	小心！那是「奪命鋼牙」！
It's a really ugly table.	是張醜到爆的桌子。
There is a box of candy on the hooker's table. Probably a gift from some admirer, you suppose.	桌上有盒糖果，大概是哪個仰慕者送的吧，你猜。
You can't take her table. She's nailed it to the floor.	桌子拿不走，她釘死在地板上了。
Although you would look precious in that little white lace number, you're just not that kind of guy!	穿上那件小白蕾絲你一定嬌豔動人，可惜你不是那種人啦！
The hooker's underwear are not of the edible variety.	那位小姐的內褲不是能吃的那種。
The bed smells of stale cigarette smoke.	床上瀰漫著陳年菸味。
The clothesline is barely strong enough to hold its present light load. Besides, if you take it, her underwear would fall down.	曬衣繩勉強撐得住現在這點輕東西。而且你要拿走，她的內褲就會掉下來。
(And you know how em-bare-assing THAT would be!)	（你知道那該有多丟「腚」吧！）
Although the pocket knife is sharp enough, you have no need to hassle this poor girl.	雖然小刀夠利，但沒必要為難這可憐的女孩。
You have no use for cigarette butts.	菸蒂對你沒用。
Yeah, Larry! You should be so lucky!	是喔，賴瑞！你也太走運了吧！
To you, they taste slightly salty.	嚐起來，帶點鹹味。
"Is that all you came up those stairs for, Honey? To cop a little feel?"	「甜心，你爬上樓就只是要吃豆腐喔？」
"Mmmmmbbbblllemmm," you mumble, imagining your face buried in that valley.	「嗯嗯嗯……」你含糊咕噥著，幻想自己整張臉埋進那片山谷。
"Is that all you want to do, Honey?" she asks.	「甜心，你就只想幹這個？」她問。
"Hey, baby," she groans, "none o' dat. `Straight ahead' is all you get!"	「嘿，寶貝，」她哼了一聲，「別想了，只能『直來直往』！」
You recognize that cologne: "Eau de Toilette Cie't!"	你認出那股古龍水味："馬桶芳香精"！
Get your hand out of the crack!	把手從縫裡拿出來！
You can't imagine putting your tongue in THAT crack!	你想都別想把舌頭伸進那條縫！
No, there's no chewing gum losing its flavor on THAT bedpost.	不，那床柱上沒有嚼到沒味道的口香糖。
It's a nice little alley, with a trash bin, two windows, a fire escape, a fence, and whoa, look there! There's something sitting in that window to the right!	這是條不錯的小巷，有垃圾桶、兩扇窗、逃生梯、圍籬——哇，你看那邊！右邊那扇窗上擺著什麼東西耶！
It's a nice little alley, with a trash bin, two windows, a fire escape and a fence.	這是條不錯的小巷，有垃圾桶、兩扇窗、逃生梯和圍籬。
It's not long enough to reach anywhere, but you might want to use it for safety purposes.	它不夠長，搆不到什麼地方，不過可以拿來當安全繩用。
You're already all tied up!	你已經綁好了啦！
Hey! Where are you?	嘿！你人咧？
After a careful analysis of your surroundings, you conclude you are at the bottom of a pile of garbage!	仔細分析一番周遭環境後，你得出結論：你在一堆垃圾的最底層！
Willing to do anything to further tonight's goal, you dive into the dirty dumpster.	為了今晚的目標，你什麼都豁出去了，一頭栽進髒兮兮的垃圾桶。
Digging past innumerable limp celery stalks from this morning's bloody marys, you find Lefty's hammer, wipe it off as much as you can, and stuff it into your pants pocket.	翻過今早調血腥瑪麗剩下的無數根軟趴趴芹菜梗，你挖出老左的錘子，盡量擦乾淨，塞進褲子口袋。
You carefully tie the ribbon from your "nuptial bed" around your waist.	你小心把那條「洞房」緞帶綁在腰上。
You carefully tie the ribbon from your "nuptial bed" around the railing.	你小心把那條「洞房」緞帶綁在欄杆上。
With the coy pink ribbon rather insecurely holding you to the railing, you can reach all the way over to the window.	那條嬌羞的粉紅緞帶，搖搖晃晃地把你繫在欄杆上，總算讓你搆得到那扇窗。
