"What'd I Say"	《我要說什麼》
The expensive ring, seeing your cheap watch, exudes a strong sense of superiority.	那貴重的戒指看到你的廉價手錶，散發出強烈的優越感。
You dip your watch in the whiskey, then give it a licking, yet it keeps on ticking!	你把手錶浸進威士忌，然後舔一舔，但它還是一直滴答滴答。
Is there something good to "watch" on TV, Larry?	電視上有什麼值得「看」的東西嗎，Larry？
So you want to time the rose?	所以你想用手錶給玫瑰計時？
That should make your cheap watch waterproof!	那應該能防水你那便宜手錶！
Hiding your watch in the box of candy won't get you anywhere.	把手錶藏在糖果盒裡也到不了哪去。
The pass couldn't be less interested.	通行證一點興趣都沒有。
To a pocketknife, time is relative.	對小刀來說，時間是相對的。
You idiotically dip your watch into the wine. How much punishment can these things take?	你蠢蛋似地把手錶泡進葡萄酒。這東西能承受多少折騰？
Almost time to buy the next issue!	差不多該買下一期了！
The hammer doesn't want to watch.	錘子不想看。
The watch won't fit into the little pill container.	手錶塞不進小藥瓶。
You attempt to measure the length of the ribbon with your watch, and find it's about 30 seconds long!	你用手錶試著測量絲帶長度，發現大約 30 秒長！
What a stupid thing to try.	真是蠢到爆的主意。
The apple won't fit in your already-bulging wallet.	蘋果塞不進你已經滿脹的錢包。
"Warning: do not try to puncture the breath spray with an apple."	"警告：別試圖用蘋果刺穿口氣噴霧。"
The watch concentrates on keeping time and ignores your apple.	手錶專注於計時，忽視你的蘋果。
This Red Delicious is not suitable for your Granny Smith, but someone else might find it appropriate.	這紅蘋果不適合你的青蘋果，但別人可能覺得挺搭的。
No, the apple doesn't fit through the ring.	不行，蘋果穿不過戒指。
You fruitlessly attempt to wedge the apple into the whiskey glass.	你徒勞地試圖把蘋果塞進威士忌杯。
Having no infrared circuitry, the apple fails to interface with the remote control.	蘋果沒紅外線電路，沒辦法跟遙控器相容。
The apple and the rose, two of nature's most perfect creations. So what?	蘋果和玫瑰，大自然最完美的兩個造物。那又怎樣？
The apple already has a protective skin. Don't bite either one!	蘋果已經有保護皮。別咬這兩樣東西！
The apple won't fit in the candy box.	蘋果塞不進糖果盒。
The disco pass prefers saltier snacks.	迪斯可通行證更愛鹹一點的零食。
There's no need to peel the apple.	沒必要削蘋果皮。
Larry, it's pears in tequila bottles, not apples in wine boxes.	Larry，那是龍舌蘭酒裡的梨，不是葡萄酒盒裡的蘋果。
Seeing the melons on the front of that magazine, the apple develops an inferiority complex.	看到雜誌封面上的哈密瓜，蘋果就產生了自卑感。
Applesauce. Good idea.	蘋果醬。好主意。
You try to core the apple with the pill bottle, but are unable to remove the child safety lid!	你試著用藥瓶挖蘋果心，但拿不下兒童防護蓋！
"Tie a pink ribbon round your old apple..." Nah. That just doesn't make it, Larry.	"在你的老蘋果上綁條粉紅絲帶…" 不。那根本不行，Larry。
The apple is shocked and confused by the strange graffiti.	蘋果被奇怪的塗鴉嚇得懵懵懂懂。
The breathspray looks at the ring in surprise! "Why, this is so sudden!"	口氣噴霧驚訝地看著戒指！"啊呀，這太突然了！"
If clocks chime, do watches "ring?"	如果時鐘會敲鐘，那手錶會「發出鈴聲」嗎？
Putting the ring in the apple might spoil its lustrous shine! (The apple's, that is!)	把戒指放進蘋果可能會毀掉它的光澤！（是蘋果的，那就是！）
When you gaze deep into the diamond, you seem to hear the sound of wedding bells, and maybe diesel trucks.	當你凝視著鑽石深處，你彷彿聽到婚禮鐘聲，也許還有柴油卡車。
Checking for dissolvable solids, you dip the ring into the whiskey. Nothing happens.	為了檢查是否有可溶固體，你把戒指浸進威士忌。什麼都沒發生。
Just for fun, you use the ring to press some buttons on the remote control.	只是好玩，你用戒指按遙控器的按鈕。
It's no use, the rose is already engaged to some pansy.	沒用，玫瑰花已經訂婚給某個小屁孩。
That's a creative way to give someone a ring.	那是個有創意的求婚方式。
You smear chocolate all over the ring, then lick it all off. Was that fun or what?	你在戒指上塗滿巧克力，然後全部舔掉。那不是挺爽的嗎？
The disco pass has no use for the ring.	迪斯可通行證對戒指沒轍。
You rub the diamond on the blade of your pocket knife and sharpen it ever so slightly.	你用鑽石摩擦小刀的刀刃，磨得越來越尖。
Using the diamond, you scratch your initials into the cardboard box of wine.	用鑽石，你在紙箱酒盒上刻下自己的縮寫。
These are only photographs of girls, Larry. None of them will marry you.	這些只是女孩的照片，Larry。她們都不會嫁給你。
The ring won't fit on the hammer.	戒指套不進錘子。
Don't put the ring in with the pills. You might accidentally swallow it.	別把戒指跟藥一起放。你可能會不小心吞了它。
Your ribbon WOULD look sweet with a cute little bow, but you decide to save the ribbon to use elsewhere.	你的絲帶配個可愛小蝴蝶結確實會很漂亮，但你決定留著別的地方用。
The ring read the graffiti while it was sitting on the sink.	戒指坐在洗手槽上時讀了那塗鴉。
Your wallet is stained enough already.	你的錢包已經夠髒的了。
You don't really want "Morning in the Distillery" breath?	你不想要"蒸餾廠早晨"口氣？
You drop a little whiskey on your watch, just to clean the crystal.	你滴點威士忌在手錶上，就當清潔水晶。
Is whiskey and apples an old family recipe?	威士忌配蘋果是你家的老食譜？
You dribble a bit of whiskey onto the ring, hoping to kill the germs from the bathroom sink.	你滴點威士忌在戒指上，希望能殺死浴室水槽的細菌。
There is a strong odor of petroleum by-products coming from this glass.	這杯子裡散發著濃烈的石油副產品味道。
"I'll bet a little whiskey would make that remote control more powerful," you conjecture mistakenly.	"我打賭一點威士忌能讓那遙控器更強勁，"你錯誤地推測。
If the rose isn't already dead, that rotgut will put it out of its misery.	如果玫瑰還活著，那劣質酒會結束它的痛苦。
Nobody's going to want to drink the whiskey after you've poured it in THERE!	你倒進去以後，沒人會想喝那威士忌！
The candy is already well-soaked.	糖果已經夠浸濕的了。
You dribble a little whiskey on the pass to remove that "never used" sheen.	你滴點威士忌在通行證上，想去掉那"從未使用"的光澤。
Don't you know? Whiskey and weapons don't mix!	你不知道嗎？威士忌和武器不搭！
Yes, a good malt Chablis is tough to find.	是啊，好的麥芽夏布利很難找。
That will only make the pages even more sticky.	那只會讓紙頁黏得更厲害。
