...maybe with good behavior?	……搞不好，表現良好還能假釋出獄？
"But don't you think you might have needed this later?"	「你不覺得你以後可能會用得到這個嗎？」
"You know," says the man, peering deep into his barrel, "I'm all out! But thank you for your continued support. And for the $%d.00!"	「你知道嗎，」那人低頭往桶子裡瞧，「我賣光了！謝謝你長期的支持——還有這 $%d.00！」
"Thank you, sir," says the skinny young man in the barrel. "For helping out a poor unfortunate by purchasing an apple at a reasonable $%d.00."	「謝謝您，先生，」桶子裡的瘦削年輕人說。「感謝您用公道的 $%d.00，幫襯了一個可憐人買下這顆蘋果。」
"If you have any other jewelry you'd like to swap, be sure to let me know!"	「如果你還有其他珠寶想換，記得來找我喔！」
"Please call again, whenever you are in the neighborhood," says the man. And with that, he walks away into the night.	「有空常來啊，」那人說完，便轉身消失在夜色裡。
"You know, I'm a little short of funds myself," you say to the man in the barrel. "Perhaps next time, ok?"	「你知道嗎，我自己手頭也緊，」你跟桶子裡那人說。「下次再說，好嗎？」
He says nothing, but walks away dejectedly into the Lost Wages night.	他一句話也沒說，只是垂頭喪氣地走進失樂城的夜色裡。
Peering down inside the poor man's barrel you say, "Wow! You really did lose everything!"	你低頭往那可憐人的桶子裡一瞧，「哇！你還真的輸到脫褲子躲進桶子裡了！」
"Oh no, you don't!" exclaims the man. "Keep your hands out of my barrel!"	「不行不行！」那人尖叫。「手別伸進我的桶子！」
Why don't you catch him next time around, Larry?	Larry，怎麼不等下次再逮住他呢？
"No, thanks," he says, "I'm broke, not odiferous!"	「免了，」他說，「我雖然窮，但鼻子沒壞！」
"I don't want that thing back!"	「我才不要那東西還給我！」
"No, thanks, I don't drink!"	「不用了，我不喝酒！」
"Sweet, but I'm busted! What do I need with a rose?"	「窩心啦，但我兩袖清風！要玫瑰幹嘛？」
"I'm selling apples, not cucumbers!"	「我在賣蘋果，不是小黃瓜！」
"I can't afford to buy a drink in THAT place!"	「我可買不起那種店的酒！」
"What do you think? I want to slash my wrists?"	「你當我想幹嘛？割腕自盡喔？」
"No, thanks, Mister. I deal in cash only."	「不用了，先生。我只收現金。」
You take a swing at the apple salesman, but miss.	你朝賣蘋果的揮了一拳，但撲了個空。
(You never were any good at hack-and-slash games!)	（你打從以前玩砍殺遊戲就沒厲害過！）
"Sorry," replies the apple salesman to your generous offer, "but I'm broke, not stupid!"	「抱歉，」賣蘋果的人回絕你的慷慨提議，「我是窮，不是笨！」
He's yet another poor soul who donated his everything so the shrine of Lost Wages could continue to flourish.	他又是一個把家當全捐給失樂城這座『神殿』、供它繼續香火鼎盛的可憐人。
"Hey, Buddy," you joke. "How's your Pippin?"	「嘿，老兄，」你開玩笑說，「你那顆『青龍蘋果』還好嗎？」
He mutters under his breath, "(10,000 comedians out of work in this town...)"	他低聲咕噥，「（這城市有一萬個諧星失業中…）」
"Sorry, buddy, but this is MY night in the barrel!"	「歹勢啦，老兄，但今晚輪到我睡這桶子！」
He smells of decomposed apple cores and fresh pork rind.	他身上一股爛蘋果核混新鮮豬皮的味道。
Isn't it funny how every time you reach out to touch these doors, they open?	很妙吧，每次你伸手要碰這些門，它們就自己開了？
That water sure is deep.	這水看起來真的很深。
Use the restroom at Lefty's instead.	去老左酒吧上廁所吧。
The water tastes rather metallic and a little acidic.	這水嚐起來有點金屬味，還帶點酸。
The plant feels like someone spit apple juice on it earlier!	這盆植物摸起來，好像剛剛有人朝它吐了蘋果汁！
Do you think talking to artificial plants will make them grow?	你以為跟假植物講話它就會長大喔？
You can't reach that sign from down here!	你在這裡搆不到那個招牌！
You can't reach the lights.	你搆不到那些燈。
You and the sculpture have absolutely no common interests.	你跟那尊雕像，完全沒有共同話題。
It feels like metal.	摸起來像金屬。
Jeez, Larry; take a cold shower or something!	天啊，Larry，去沖個冷水澡冷靜一下啦！
It tastes rather metallic.	嚐起來有股金屬味。
You are in the casino. There are slot machines on the right, and video blackjack machines on the left. This place is a gambler's paradise!	你人在賭場裡。右邊一排吃角子老虎，左邊是電子21點機台。這地方根本是賭鬼的天堂！
They appear to be having a great time. Perhaps you'd like to join them?	他們看起來玩得很盡興。要不要一起加入？
Don't interrupt them; they're trying to win.	別打擾他們，人家正拚了命想贏錢呢。
You insert your $%d into the machine and brace yourself for an invigorating round of electronic blackjack.	你把 $%d 塞進機器，深呼吸準備來場刺激的電子21點。
Sorry, Larry. You've already made the big bucks.	抱歉啦，Larry，你早就撈到大錢了。
You slip all of your money into the slot machine and settle in for a few relaxing minutes with your one-armed bandit.	你把身上所有錢都餵進吃角子老虎，準備跟這個獨臂強盜悠閒鬼混幾分鐘。
A sign off in the corner reads, "Welcome to The Lizard Lounge."	角落有塊牌子寫著，「歡迎光臨蜥蜴酒廊。」
It looks like a great place to be from.	這地方感覺很適合「曾經待過」。
(You wonder where they keep the lizards.)	（你很好奇他們把蜥蜴藏在哪。）
You toss the rose on the stage. It falls where you will not be able to retrieve it.	你把玫瑰扔上舞台，它掉在你怎麼樣都撿不回來的地方。
"Bravo. Bravo!" you cry.	「太棒了！太棒了！」你大喊。
"Thank you, thank you!" the comedian responds to your applause.	「謝謝，謝謝！」喜劇演員回應你的掌聲。
The girls' smiles beam at your applause!	姑娘們被你的掌聲逗得笑容燦爛！
"Well, that's all I know, folks," the comic says. "Come back for the next show, and you can hear 'em all again!"	「好啦各位，我知道的笑話就這些，」喜劇演員說。「下一場再來，保證讓你們全部再聽一遍！」
"And, now, ladi... uh, gentleman," announces the comic, "we're proud to present the Magic portion of our act."	「現在呢，各位女…呃，先生，」喜劇演員宣布，「我們光榮為您獻上魔術橋段。」
"Let me pick someone at random from our audience..."	讓我隨機從觀眾裡挑一位…
"How about you," he says looking directly at you. "Would you like to participate in a little experiment in telepathy?"	「就你吧，」他直直盯著你說。「要不要參加個小小的心電感應實驗？」
(Of course he's looking at you! You're the only one here!)	（他當然是看你！這裡就你一個觀眾啊！）
You're game, so you answer, "Sure."	你也想玩，於是回答，「好啊。」
"Great! Now Paul, my drummer and musical conductor for lo these many years, will read your mind," says the comic. "Come on, Paul, show him your stuff!"	「太好了！接下來讓 Paul——跟了我這麼多年的鼓手兼樂隊指揮——來讀你的心思，」喜劇演員說。「來吧 Paul，秀一手給他看！」
"I want you to concentrate on your billfold," Paul says. "Clear your mind, and think solely about the contents of your wallet."	「集中精神想著你的皮夾，」Paul 說。「把腦袋放空，只想著你皮夾裡裝了什麼。」
Since clearing your mind is no problem for you, Larry, you do so easily.	對 Larry 你來說，放空腦袋根本不用練習，輕輕鬆鬆。
"I'm getting a message... I see something..."	「我收到訊息了…我看到了什麼…」
"I've GOT IT!" he exclaims. "If you open your billfold you'll discover some wrinkled business cards, lots of notes, some credit cards (which won't work in this game), and exactly $%d.00 in cash!!"	「我看到了！」他大聲宣布。「打開你的皮夾，你會發現幾張皺巴巴的名片、一堆小紙條、幾張信用卡（這遊戲裡刷不了），還有整整 $%d.00 現金！！」
"Ladi... uh, GENTLEMAN!" shouts the comic. "PAUL THE MAGNIFICENT has done it again!!"	「各位女…呃，先生！」喜劇演員喊道。「神奇 Paul 又成功啦！！」
Just to make sure, you take out your wallet and look inside...	為了確認一下，你掏出皮夾往裡瞧了瞧…
