Another boring %s	又是無聊的 %s
She says, "Sorry, Mister, but all you gets is `Straight Ahead' wit' me."	她說：「抱歉，老兄，跟我你只能玩『直進』的。」
Sniffing the air, you're suddenly hungry for tuna.	嗅著空氣，你突然想吃鮪魚。
You are in the hooker's seedy bedroom. The room's a mess, ditto the hooker!	你在妓女的破爛臥室裡。房間亂成一團，那妓女也是！
Your ribbon is not long enough to reach outside.	你的絲帶不夠長到外面。
"Come on, my big stud-muffin! Come to Mama!"	「來啊，我的大帥哥！過來靠媽媽！」
You're really proud of your man-like chest.	你為你那像男人的胸膛感到驕傲。
Not again! A guy can only take so much!!	又來了！一個傢伙只能受這麼多！！
You already are wearing your "lubber."	你已經穿上你那件『保險套』。
Now's a great time to think of that! A little late now, isn't it, Larry?	現在才想到！有點晚了，不是嗎，Larry？
With your pants still on?	還穿著褲子？
With all your clothes on?	穿著所有衣服？
Yep! This would be a perfect time! Your Surgeon General is proud!	對啊！這是完美時機！你的衛生署會為你驕傲！
Ahh. That feels better.	啊。舒服多了。
"Jeez, Mister!" cries the hooker, "What've you been eating? Buffalo chips???"	「天啊，老兄！」妓女喊著，「你吃的是什麼？野牛屎？」
She certainly seems to enjoy that gum.	她似乎真的很享受那口香糖。
Although successful, you feel less than satisfied. Technically speaking, you're no longer a virgin, but for some reason, the thrill just wasn't there. You vow to continue your quest until you please your heart, not just your other organs!	儘管成功了，但你感覺不太滿意。嚴格來說，你不再是處男了，但不知怎地，快感就是不在。你發誓要繼續尋求，直到取悅你的心，而不只是其他器官！
It's a good thing you were wearing your raincoat!	還好你穿了雨衣！
She seems more interested in that cigarette than she was in you.	她對那根菸的興趣比對你大。
NOW!? You've come this far, Larry; now's the time to do more than just look!	現在！？Larry，你走到這裡了；現在該做的不只是看！
"Was it good for you, baby?" you ask her.	「對你好嗎，寶貝？」你問她。
"Was what good?" she replies.	「什麼好？」她回答。
"So," she snarls, "you just gonna stand there, or what?"	「那麼，」她咆哮，「你就要這樣站著，還是怎樣？」
From here, her perfume smells cheap and overpowering.	從這裡她的香水聞起來既廉價又撲鼻。
(Also from the next county, you suppose!)	（大概連隔壁縣都聞得到，你想。）
"I don' need dat, Honey. Didn't ju pay downstairs?"	「我不需要那個，寶貝。你沒在樓下付錢嗎？」
"Dat's right, Honey," she gums, "yore time's runnin' out."	「沒錯，寶貝，」她牙齒咬著說，「你的時間快沒了。」
"No commitments, Honey. This is a biz'nus deal!"	"沒有約定，寶貝。這純粹是生意買賣！"
"You jes' gonna stand there and play with your li'l remote?"	"你就站那邊玩你的小搖控器？"
"Yeah, them's a good idea. Lemme see that'n. Well, how 'bout dat! I didn't know they came in `Extra Small!'"	"是喔，好主意。讓我看看。怎樣！我不知道還有『超迷你』尺寸！"
"Naw, Nuggie, none for me. But I jes' had me a john that gimme a box a' candy jus' like that'n."	"不要，親愛的，我不要。不過我剛有個客人送我盒糖果長一樣。"
"Why waste yore time at the disco? We kin do the horizontal bop right here!"	"何必浪費時間跑舞廳？咱們在這兒就能搖啊搖！"
"Honey, dinner an' drinks ain' necessary here!"	"寶貝，這兒根本不需要吃飯喝酒！"
"I've seen better!"	"我看過更水的！"
"I hardly need extrinsic motivation!"	"老兄，我根本不需要人家鼓勵！"
"No S. and M. here, buddy!"	"這兒沒在玩那套，老哥！"
"Honey, you don' need no knife. You can assault me with YORE deadly weapon!"	"寶貝，你不用刀啦。你可以直接用你的致命武器蹂躪我！"
"He did? Ain't he the sweetest? He's always sendin' me bizness!"	"是喔？他人真好！他總是介紹客人給我！"
"Say, Honey-chil', whacha come up here for--bartering?"	"說啊，親愛的，你上來是要換東西嗎？"
What smoldering eyes!	多迷人的眼神啊！
Look out! It's the "Jaws of Life!"	小心！那是『生命之鑿』！
It's a really ugly table.	是個真醜的桌子。
There is a box of candy on the hooker's table. Probably a gift from some admirer, you suppose.	桌上有盒糖果。大概是哪個客人送的禮物吧。
You can't take her table. She's nailed it to the floor.	你拿不走她的桌子。她釘死在地上了。
Although you would look precious in that little white lace number, you're just not that kind of guy!	雖然穿上那件小白蕾絲看起來很嬌艷，但你根本不是那種人！
The hooker's underwear are not of the edible variety.	那位小姐的內褲不是吃的。
The bed smells of stale cigarette smoke.	床上全是陳舊的菸味。
The clothesline is barely strong enough to hold its present light load. Besides, if you take it, her underwear would fall down.	曬衣繩勉強能撐現在的輕東西。而且你要是拿走，她的內褲就會掉下來。
(And you know how em-bare-assing THAT would be!)	(你知道那會有多尷尬！)
Although the pocket knife is sharp enough, you have no need to hassle this poor girl.	雖然小刀夠利，但沒必要惹這可憐女孩。
You have no use for cigarette butts.	菸蒂對你沒用。
Yeah, Larry! You should be so lucky!	是啊 Larry！你做夢都沒這運氣！
To you, they taste slightly salty.	在你嘴裡嘗起來有點鹹。
"Is that all you came up those stairs for, Honey? To cop a little feel?"	"寶貝，你上樓就只是要吃豆腐？"
"Mmmmmbbbblllemmm," you mumble, imagining your face buried in that valley.	"嗯嗯嗯…"你含糊地呻吟，幻想著埋進那山谷。
"Is that all you want to do, Honey?" she asks.	"寶貝，你就只想這樣？"她問。
"Hey, baby," she groans, "none o' dat. `Straight ahead' is all you get!"	"嘿，親愛的，"她呻吟著，"不行。只能『直接進去』！"
You recognize that cologne: "Eau de Toilette Cie't!"	你認得那香水："廁所流行香氛"！
Get your hand out of the crack!	把手從裂縫裡拿出來！
You can't imagine putting your tongue in THAT crack!	你根本想不到要舌頭進那條縫！
No, there's no chewing gum losing its flavor on THAT bedpost.	不，那床柱上沒有掉了味道的口香糖。
It's a nice little alley, with a trash bin, two windows, a fire escape, a fence, and whoa, look there! There's something sitting in that window to the right!	這是條不錯的小巷，有垃圾桶、兩扇窗、逃生梯、柵欄，唉呀，看哪！右邊那扇窗上擺著什麼東西！
It's a nice little alley, with a trash bin, two windows, a fire escape and a fence.	這是條不錯的小巷，有垃圾桶、兩扇窗、逃生梯和柵欄。
It's not long enough to reach anywhere, but you might want to use it for safety purposes.	它長度根本不夠搆到任何地方，不過你可以拿它當安全用途。
You're already all tied up!	你已經綁好了！
Hey! Where are you?	嘿！你在哪兒？
After a careful analysis of your surroundings, you conclude you are at the bottom of a pile of garbage!	經過仔細分析周遭，你結論是你在一堆垃圾的底部！
Willing to do anything to further tonight's goal, you dive into the dirty dumpster.	為了今晚的目標，你奮不顧身地跳進髒兮兮的垃圾桶。
Digging past innumerable limp celery stalks from this morning's bloody marys, you find Lefty's hammer, wipe it off as much as you can, and stuff it into your pants pocket.	挖過無數根今早血紅瑪麗雞尾酒裡的蔫芹菜，你找到左仔的錘子，盡量擦乾淨，塞進褲子口袋。
You carefully tie the ribbon from your "nuptial bed" around your waist.	你小心地把『洞房』的緞帶綁在腰上。
You carefully tie the ribbon from your "nuptial bed" around the railing.	你小心地把『洞房』的緞帶綁在欄杆上。
With the coy pink ribbon rather insecurely holding you to the railing, you can reach all the way over to the window.	粉紅色緞帶勉強把你綁在欄杆上，你這樣可以夠到那扇窗。
