dirty magazines.	色情雜誌。
4Canada is	4加拿大是\n\n(Canada is)
where Canadians live.	加拿大人住的地方。
north of the U. S.	美國北方。
adjacent to the U. S.	毗鄰美國。
2Oral Roberts is	2歐赫爾·羅伯茲是\n\n(Oral Roberts is)
a thermometer technique.	溫度計的用法。
an evangelist.	一位傳教士。
best done with a friend.	最好跟朋友一起做。
0Richard Nixon was	0理查·尼克松是\n\n(Richard Nixon was)
an audio technician.	音響技術員。
a plumber's friend.	管子工的幫手（通樂工具）。
a president.	一位總統。
a cocktail.	一種雞尾酒。
a perfect bowling score.	保齡球的滿分。
a large airplane.	一架大飛機。
a prime number.	一個質數。
1Whips, chains and handcuffs are	1鞭子、鎖鏈和手銬是\n\n(Whips, chains and handcuffs are)
kinky.	很變態的。
used by police departments.	警察部門用的。
usually in text adventures.	通常在文字冒險裡出現。
only permitted in Eastern schools.	只有在東方學校才准許。
0A Macintosh is	0麥金塔電腦是\n\n(A Macintosh is)
a kind of Apple.	蘋果公司的產品。
a kind of apple.	一種蘋果（水果）。
an article of clothing.	一件衣服。
4My parents are	4我的父母\n\n(My parents are)
age 10 to 25.	十到二十五歲。
age 25 to 30.	二十五到三十歲。
age 31 to 35.	三十一到三十五歲。
36 or over.	三十六歲或以上。
4My favorite actor is	4我最喜歡的演員是\n\n(My favorite actor is)
Pia Zadora.	皮雅·撒多拉。
Fred Flintstone.	佛瑞德·佛林史東。
Jim Bakker.	吉姆·貝克。
not listed here.	上面沒列的。
4I have hair on my	4我的毛髮長在\n\n(I have hair on my)
lottsa places.	一大堆地方。
2When it's noon in California in August, in St. Louis it's	2八月加州中午時，聖路易斯是\n\n(When it's noon in California in August, in St. Louis it's)
miserable.	悶熱難受。
time for a beer.	喝啤酒的時間。
2The best "pick-up" line is:	2最好的搭訕台詞是：\n\n(The best "pick-up" line is:)
Hey baby, what's your sign?	嘿寶貝，你的星座是什麼？
Want to go for a ride in my Porsche?	想坐我的保時捷兜風嗎？
For a fat girl, you sure don't sweat much!	身材這麼豐滿還不流汗，真不簡單！
You got any Vaseline on you?	你身上有凡士林嗎？
4The "Mile-High Club" is	4「千里高空俱樂部」是\n\n(The "Mile-High Club" is)
a bird-watching society.	一個賞鳥協會。
a Denver ski club.	丹佛滑雪俱樂部。
a bar in East L. A.	東洛城的一間酒吧。
open to those who have performed aerial acrobatics inside a plane's rest room.	對在飛機廁所裡做過激情運動的人開放。
3My sex life is best described as	3我的性生活最好的形容詞是\n\n(My sex life is best described as)
non-existent and non- contemplated.	根本不存在，也沒想過。
what sex life?	性生活？什麼東西？
none of your business!!	關你屁事！！
a ripening tomato.	一顆快熟的番茄。
1Elizabeth Taylor is	1伊莉莎白·泰勒是\n\n(Elizabeth Taylor is)
