an actress.	一位女演員。
the outspoken wife of an Attorney General.	某位司法部長口無遮攔的老婆。
2The G-Spot is supposed to be	2據說 G 點是\n\n(The G-Spot is supposed to be)
Ground Zero at a nuclear blast.	核爆的爆心。
a female erogenous zone.	女性的敏感帶。
an unexplained astro- nomical discovery.	一項未解的天文發現。
the place where the FBI was first established.	聯邦調查局最初成立的地方。
4Hugh Hefner is usually photographed in	4休·海夫納出鏡時通常穿著\n\n(Hugh Hefner is usually photographed in)
a hot tub.	在熱水浴缸裡。
his current lover's arms.	窩在現任女友懷裡。
1The 1973 album "Dark Side of the Moon" was recorded by	11973 年的專輯《月之暗面》是誰錄的？\n\n(The 1973 album "Dark Side of the Moon" was recorded by)
Pink Floyd.	平克·佛洛伊德樂團。
Deep Purple.	深紫樂團。
the Grateful Dead.	死之華樂團。
2When playing "Monopoly" you	2玩「大富翁」的時候,你\n\n(When playing "Monopoly" you)
hope for a straight flush.	希望抽到同花順。
must own four houses before building a hotel.	得先攢滿四棟房子才能蓋飯店。
need a black jack to win.	要有黑傑克才會贏。
win with a seven and a five.	湊到七跟五就贏了。
3Which is not in Hawaii?	3下列哪個不在夏威夷？\n\n(Which is not in Hawaii?)
4Which is not a car?	4下列哪個不是車？\n\n(Which is not a car?)
3President Eisenhower's nickname was	3艾森豪總統的綽號是\n\n(President Eisenhower's nickname was)
4Bourbon Street is in	4波旁街在\n\n(Bourbon Street is in)
Whiskeyville, Indiana.	印第安納州,威士忌村。
Jackass Flats, Idaho.	愛達荷州,蠢驢平原。
New Orleans, Louisiana.	路易斯安那州,紐奧良。
1Does a pair of queens beat three deuces?	1一對 Q 能贏三張二嗎？\n\n(Does a pair of queens beat three deuces?)
Yes, in blackjack.	能,在二十一點裡。
Yes, in poker.	能,在撲克裡。
No, in canasta.	不能,在卡納斯塔牌裡。
It depends on what the three deuces said.	要看那三張二怎麼說。
3Calvin Klein is	3卡文·克萊恩是\n\n(Calvin Klein is)
married to Brooke Shields.	娶了布魯克·雪德絲。
a movie star.	一位電影明星。
a clothing designer.	一位服裝設計師。
President of the Coarsegold Chamber of Commerce.	粗金鎮商會會長。
all it takes to consume a "Big Mac."	吃一個「大麥克」剛好夠付的錢。
computer talk.	電腦術語。
about a dollar.	差不多一塊錢。
the former cost for a shave and a haircut.	以前刮鬍加剪髮的價錢。
4Charlie McCarthy and	4查理·麥卡錫和\n\n(Charlie McCarthy and)
John Lennon	約翰·藍儂
Louis Pasteur	路易·巴斯德
Albert Einstein	亞伯特·愛因斯坦
Edgar Bergen	艾德格·柏根
4Who is not a famous musician?	4下列誰不是知名音樂人？\n\n(Who is not a famous musician?)
Lawrence Welk	勞倫斯·威爾克
Tommy Dorsey	湯米·多西
Les Brown	萊斯·布朗
Steve Garvey	史蒂夫·賈維
3Which is non-alcoholic?	3下列哪個不含酒精？\n\n(Which is non-alcoholic?)
Grand Marnier	柑曼怡
3Who was not a politician?	3下列誰不是政治人物？\n\n(Who was not a politician?)
Richard Nixon	理查·尼克森
George Bush	喬治·布希
3The last name of Annette (on the original Mickey Mouse Club) was	3安妮特（在早期米老鼠俱樂部裡）的姓氏是\n\n(The last name of Annette (on the original Mickey Mouse Club) was)
that WAS her last name.	那就是她當時的姓啦。
3"Tiptoe Through the Tulips" was recorded by	3《躡腳走過鬱金香》是誰錄的
