"Smith and Wesson!"	「史密斯威森！」
That's the elevator you rode in on!	那就是你進來搭的電梯！
Stop smearing the acrylic.	別塗汙亞克力！
Sit now? Have you looked outside?	現在坐下？你看看窗外？
These plants aren't the only unreal thing in this penthouse!	這些植物不是這間頂樓套房唯一假的東西！
The closet door is already open.	衣櫃門已經開了。
Walking out of the closet, you clumsily catch your new latex friend on a protruding nail! There's a loud, flatulent sound, and suddenly...	走出衣櫃時，你笨手笨腳地讓你的新橡皮朋友掛到一根釘子上！傳來一聲響亮的"屁"聲，突然...
You huff, and you puff, and you blow your doll up.	你使勁吹啊吹，把充氣娃娃吹脹。
Holding her out at arm's length, you pause to admire your handiwork...	你把她舉在臂膀長的距離外，暫停欣賞你的傑作...
Congratulations, Larry!!! You've done it!! You've successfully completed your evening in Lost Wages, lost your virginity, and emerged victorious!	恭喜，Larry！！！你做到了！！你成功地完成了在Lost Wages的夜晚，失去了處男身，勝利而歸！
Of course, your feelings of success are short-lived, since this is where Ken Williams has to tell you about all the wonderful sequels to this game that you now are required to play.	當然，你的成就感很短暫，因為Ken Williams現在要跟你說起這遊戲所有精彩的續作，你現在非得玩不可。
Hey, Ken! Come on out here, and give 'em your pitch...	嘿，Ken！出來這裡，給他們推銷一下...
Ladies and gentlemen... Mr. Ken Williams!	女士們、先生們...Ken Williams先生！
"Hi, folks! As C.E.O. of a Major Software Publisher you might think I'm above pitching products for Al Lowe."	「嗨，各位！身為一家大軟體出版商的執行長，你們可能會覺得我不屑於為Al Lowe推銷產品。」
"Boy, would you be wrong! I don't want to be pushy, but in my humble opinion, I think you owe it to yourself to run out to your local 24-hour software store right now and grab yourself a copy of EVERY chapter in the (now seemingly never-ending) saga of Larry; Larry Laffer, Al Lowe's lovable lounge lizard!"	「哇，你們想錯了！我不想太唐突，但以我卑微的見解，我認為你們應該馬上衝到24小時軟體店，把Larry系列（現在看起來沒完沒了）的EVERY章節都買一份；Larry Laffer，Al Lowe筆下可愛的夜店蜥蜴！」
"You would really enjoy `Leisure Suit Larry 2: Looking for Love (In Several Wrong Places)' in which you help Larry abandon his lizard-like ways and find true love on a breathtakingly-beautiful, tropical paradise called `Nontoonyt Island,' in spite of the efforts of the K.G.B. and the evil Dr. Nonookee!"	「你會很喜歡`Leisure Suit Larry 2：尋找愛情（在好幾個錯的地方）'，這裡你幫Larry拋棄他的蜥蜴習性，在一個令人屏息的美麗熱帶天堂`Nontoonyt Island'找到真愛，儘管克格勃和邪惡的Nonookee博士從中作梗！」
"Or, you may prefer `Leisure Suit Larry 3: Passionate Patti in Pursuit of the Pulsating Pectorals' in which you play part of the game as Larry, but also play as Passionate Patti, a woman that is everything Larry is not. (And has everything Larry does not, too!)"	「或者，你可能更喜歡`Leisure Suit Larry 3：熱情派蒂追逐搏動的胸肌'，在這裡你會以Larry身份玩部分遊戲，也會以熱情派蒂身份玩，她是一個在各方面都與Larry相反的女人。（而且擁有Larry沒有的一切！）」
"But, I really hope you select my personal favorite, `Leisure Suit Larry 5: Passionate Patti Does a Little Undercover Work' in which Patti truly comes into her own, helping the F.B.I. clean up the entertainment industry, while Larry must find the sexiest woman in America for his employer, that hot new syndicated television program, `America's Sexiest Home Videos!'"	「但我真的希望你們選我個人最愛的，`Leisure Suit Larry 5：熱情派蒂做一點卧底工作'，這裡派蒂真正發揮潛能，幫助聯邦調查局清理娛樂業，而Larry必須為他的老闆尋找美國最性感的女人，那個火紅的新聯播電視節目`America's Sexiest Home Videos!'」
"You may wonder why I didn't mention `Leisure Suit Larry 4: The Missing Floppies!'"	「你們可能想知道為什麼我沒提`Leisure Suit Larry 4：失蹤的軟片!'」
"Me, too. The problem is: we don't know where it is! You know me; if we COULD find it, I'd sell it!"	「我也是。問題是：我們不知道它在哪！你們認識我；如果我們能找到，我非賣不可！」
"So, if you enjoyed this game (and you must have, since you got this far!), give Sierra's Order Desk a call at 800 326-6654 (international customers call 209 683-4468). We'll be happy to sell you any of the Leisure Suit Larry series, or even some of our good games!"	「所以，如果你們喜歡這個遊戲（肯定喜歡，因為你們玩到這裡了！），打電話給Sierra訂購部800-326-6654（國際客戶撥209-683-4468）。我們很樂意賣給你們任何Leisure Suit Larry系列，或者我們其他的好遊戲！」
"Well, enough about me, now let's hear about you..."	「好了，關於我的就到這裡，現在來說說你們...」
"Oh, wait. I almost forgot to tell you how well you played."	「哦，等等。我幾乎忘了讚一下你們的玩法。」
"You played ok, I guess!"	「我想你玩得還不錯啦！」
"On behalf of Al and Marg, Ken and Roberta, Oliver and Lisa, Mike and Laura, Bill and Patti, Bob and Jeannine and Ted and Alice..."	「代表Al和Marg、Ken和Roberta、Oliver和Lisa、Mike和Laura、Bill和Patti、Bob和Jeannine以及Ted和Alice...」
"...thanks for playing, and be sure to tell each and every one of your friends to buy their own personal copy of this game."	「...感謝各位遊玩，一定要跟每個朋友說要買自己的遊戲副本。」
"Love ya, baby!"	「愛妳，寶貝！」
This is the flattest babe you've ever felt, Larry!	這是你摸過最平的女人，Larry！
There's only one thing she can do with her mouth, Larry.	她的嘴巴只能做一件事，Larry。
You may want to inflate her first, Larry.	你最好先把她吹脹，Larry。
Peering into the empty closet brings back sad but dear memories of your latex friend.	瞄著空蕩蕩的衣櫃，你想起了你親愛的橡皮朋友的傷感回憶。
"What's behind that door?" you wonder to yourself.	「那扇門後面是什麼？」你自問。
This switch connects the two legs of a circuit causing current to swiftly flow to the lamp socket on the ceiling of the closet.	這個開關連接電路的兩根導線，使電流迅速流向衣櫃天花板的燈座。
(Of course, nothing happens since the bulb is burned out, but you get the idea!)	（當然，因為燈泡燒了什麼都沒發生，但你明白意思！）
It feels soft enough for you.	摸起來對你來說夠軟了。
You might get to do that later, Larry.	你以後可能有機會做那個，Larry。
They feel soft and fluffy.	摸起來軟綿綿的。
Ouch! Are all the plants sharp?	哎呀！所有的植物都這麼扎人嗎？
What did you think? You maybe expected to climb this tree?	你想什麼呢？還以為能爬這棵樹？
If you inflate her any more, she'll pop!	如果再吹她，她會爆！
She feels so life-like--for latex!	她摸起來栩栩如生--對橡皮來說！
There's nothing more for you to see!	沒什麼好看的了！
You're not sure, but you think she just smiled!	你不確定，但覺得她好像笑了！
All right, you asked for it. In fact, you've asked for it twice! Here we go...	好吧，你要求的。實際上你要求了兩次！來吧...
Selecting your own personal favorite from the three available openings, you shyly try out the doll. This has to be the kinkiest thing you've done yet, Larry.	從三個可用的開口中選了你個人最愛的，你害羞地試試娃娃。這一定是你迄今為止最變態的舉動，Larry。
You gradually increase your tempo as you lose your inhibitions (not to mention your self-esteem). Faster and faster you go, until suddenly, there's a loud, flatulent sound...	你逐漸加快步伐，隨著你放下羞恥心（更別提自尊了）。越來越快，直到突然...一聲響亮的屁聲...
Foreplay is not really necessary with inanimate objects.	跟無生命的物體做前戲根本不必要。
(Besides, you find it difficult to establish a meaningful relationship with latex!)	（而且，你發現很難跟橡皮建立有意義的關係！）
"Ken was here, too!"	「Ken也在這兒過！」
Oops! Bad idea, Larry!	哎呀！爛主意，Larry！
That's not the item she expects you to use!	那不是她期望你用的東西！
An expansive rooftop garden bathes in the moonlight, while a luscious woman bathes in the nude!	寬敞的屋頂花園沐浴在月光下，而一個豐滿的女人沐浴在裸露中！
You can't believe your eyes. She's the girl of your dreams.	你不敢相信自己的眼睛。她是你夢寐以求的女人。
(She's even wet!)	（而且她是濕的！）
As much as you'd like to get undressed and join that young lady in her hot tub, you haven't been invited yet.	儘管你很想脫衣服跳進那位年輕女士的浴缸，但還沒被邀請。
(And you know about hotel security...)	（而且你知道飯店保全...）
Perhaps if you introduced yourself to her first...	也許你先自我介紹給她...
Glancing around, you notice no changing facilities nearby. Oh, what the hell....	掃一眼周圍，你發現附近沒有換衣設備。哎，管它的....
Wasting no time, you execute your previously only pre-visualized spa hop, landing in the warm water. Oooh, does it feel good! It's nearly as stimulating as the beautiful naked woman next to you. With the warmth of the water soaking into your body, you quickly become quite relaxed.	二話不說，你執行你之前只在心理預演過的溫泉跳，落入溫水中。哦呀，真舒服！幾乎跟你旁邊的裸露美女一樣刺激。水的溫暖滲入你的身體，你很快就放鬆下來。
"Say, Larry!" smiles Eve, "You really ARE glad to see me!"	「嘿，Larry！」Eve微笑著說，「你真的很高興見到我！」
You ask yourself, "Why am I standing here when I was invited into a spa with a woman like her?"	你問自己，「我為什麼還站在這兒，明明被邀請進溫泉跟這樣的女人在一起？」
(Was she talking to you, Larry?)	（她是在跟你說話嗎，Larry？）
A beautiful black woman relaxes in the penthouse suite's rooftop garden's spa. You begin to get the feeling that your evening in Lost Wages may be successful after all!	一位美麗的黑人女性在頂樓套房屋頂花園的溫泉裡放鬆。你開始有種感覺，你在Lost Wages的夜晚終究可能會成功！
"Yes, of course I'd like to join you," you stammer. "In fact, I can think of nothing I'd like better!"	「是的，當然我想加入你，」你結巴著說。「實際上，我想不到還有什麼更好的！」
"(If I could only figure out how to take off these clothes)," you think.	「（如果我能想出怎麼脫掉這些衣服...）」你想著。
"Well, uh," you stutter, "I've always felt it is a look that's right for me. `A man has to do what a man has to do,' I always say."	「嗯，呃，」你結巴著，「我一直覺得這套打扮適合我。`男人必須做他該做的事，'我常這麼說。」
She smiles up at you, "I agree completely. I'm so tired of men who wear or say anything just to gain a woman's favors!"	她抬頭對著你微笑，「我完全同意。我厭倦了那些為了討女人歡心而穿著或說什麼的男人！」
"Gee," you think, "I would never do that!"	「天哪，」你想著，「我絕對不會那樣做！」
To her, you say with a smile, "And I so love what YOU are wearing!"	你帶著微笑對她說，「而且我超愛你穿的東西！」
She laughs, "And, a sense of humor! Larry, you are one special man. Why don't you slip into the water and we'll see if we can REALLY get to know each other!"	她笑著說，「還有幽默感！Larry，你真是個特別的男人。何不滑進水裡，我們看看能不能真正彼此認識！」
"Hey, Gorgeous! Allow me to introduce myself," you say. "My name is Larry; Larry Laffer."	「嘿，美女！讓我自我介紹一下，」你說。「我叫Larry，Larry Laffer。」
"Hello, yourself, Larry," she replies. "What an attractive leisure suit--I so miss them! It's refreshing to meet a man with so much self-confidence that he's willing to flaunt the fickle trends of fashion mores and deeply travel the road of his own secure masculinity."	「你好啊，Larry，」她回答。「多漂亮的休閒裝--我多懷念啊！見到一個如此自信，願意無視時尚風潮而走自己堅實男子氣概之路的男人，真是令人耳目一新。」
There's not much you can do from out here.	你在外面做不了什麼。
You wonder if there's any way to turn off those bubbles!	你想知道有沒有辦法關掉那些氣泡！
Doesn't that water look inviting?	那水看起來很吸引人，不是嗎？
Because you are such a wimp, you turn the bubblers back on.	因為你太膽小，你把氣泡打開了。
You coyly "happen" to step on the spa bubbler control switch.	你假裝"不小心"踩到溫泉氣泡控制開關。
Looking over at the next hotel, you see a window with its drapes wide open.	看向隔壁飯店，你看到一扇窗簾大開的窗戶。
Say, look at that. There's an ugly girl getting undressed.	嘿，瞧瞧。有個醜女孩在脫衣服。
She's not really very pretty.	她長得不怎麼樣。
Well, she's not bad.	嗯，也不算壞。
You know, she's looking better.	你知道嗎，她看起來好多了。
Say, she's pretty good.	嘿，她還不賴。
Perhaps you could ignore some of her faults.	也許你可以忽視她的一些缺點。
You may be in love!	你可能戀愛了！
You ARE in love!	你確實戀愛了！
Well, at least you're in lust!	好吧，至少你很想要她！
Say, what's that in that hotel window across the way?	嘿，那邊飯店窗戶裡是什麼？
Wow! Just the way you like your women: nearby and naked! She has a beautiful face and a gorgeous body. You've waited a lifetime for this moment.	哇！正是你喜歡的女人類型：近在咫尺且赤身裸體！她有張漂亮的臉蛋和火辣的身材。你為這一刻等了一輩子。
And her eyes tell you she's interested in you, too, Larry!	她的眼神告訴你她也對你有興趣，Larry！
You feel certain she likes that.	你確信她喜歡那樣。
She says nothing, but her smile tells you bushels.	她沒說什麼，但她的微笑說明了一切。
She says nothing, but her smile speaks volumes.	她沒說什麼，但她的微笑不言而喻。
"You smell so good, Baby," you tell her. "What is that perfume you're wearing?"	「妳聞起來真香，寶貝，」你告訴她。「妳擦的是什麼香水？」
"`Apple Blossom,'" she smiles.	「`蘋果花香，'」她微笑著。
SLAP!!!	巴！！！
(Oops!)	（哎呀！）
