Canadian	加拿大人
You might try using %s on yourself.	你可以對著自己用 %s 看看。
Click the OK button to close this window.	按 OK 按鈕關掉這個視窗。
Your wallet is mostly empty since you stuck all your money into this machine!	你的錢包空蕩蕩的，因為你把所有的錢都塞進這台機器了！
Your wallet contains some wrinkled business cards, lots of notes, some credit cards (which won't work in this game), and $%d.00 in cash.	你的錢包裡有一些皺巴巴的名片、一堆紙條、幾張信用卡（在遊戲裡沒用），和 $%d.00 現金。
You reach in your wallet and grab the...	你掏出錢包抓了…
What a shame! Not one single business in Lost Wages accepts credit cards from the First National Bank of Iraq.	真丟人！Lost Wages 沒有任何生意接受伊拉克第一銀行的信用卡。
The only business card you have reads, "Sierra On-Line, Inc. (209) 683-8989"	你唯一的名片上寫著「Sierra On-Line, Inc. (209) 683-8989」
"Remember to buy more Al Lowe games!"	「記得買更多艾爾·洛的遊戲！」
Gee, a genuine BowlX!  At least the time is accurate -- it's %02d:%02d.	天啊，真正的 BowlX！至少時間對——現在是 %02d:%02d。
The passcard reads:  "Lost Wages Disco  Admit One Member and Guest  Remember: every Monday is Ladies Night!"	通行證上寫著：「Lost Wages Disco  一位會員和嘉賓通行  記住：每個星期一是女士之夜！」
Well, well. It looks like this month's issue is filled with intelligent, literary articles laden with redeeming social value. For example, here's an article about how professional window washers secure themselves to the sides of tall buildings with a rope tied around their waist...	嗯呃，這月號看起來全是有內涵又有文采的文章，滿是社會價值。舉例來說，有篇文章講專業洗窗工怎麼用繩子綁腰部固定在大樓外牆上…
Nah! Who wants to read that crap? You quickly flip through the pages until you discover...	呸！誰想讀那爛玩意？你快速翻著頁面直到發現…
Whoaaah! Nice centerfold this month!!	哇嗚！這月的中頁好棒！！
error!	錯誤！
No need to pay the breath spray, it's just doing its job.	不用付那個除臭噴劑的錢，它只是在做工作。
The watch doesn't need your money.	手錶不需要你的錢。
You've already paid for the apple once--and a princely sum, at that.	你已經付過那個蘋果的錢了——而且是筆鉅款。
