It tastes rather metallic.	嚐起來有股金屬味。
You briefly hold your hand right above the candle flame, then reconsider as your hand begins to blister.	你把手舉到燭火上烤，才燙出水泡馬上打退堂鼓。
As you are about to sit down in that chair, you notice a small sign on the table that reads, "Reserved."	你正要坐，眼尖發現桌子上有張紙條，寫著「已訂」。
You already are sitting.	你早就坐著了。
"I told my doctor my sex life was boring. He said `You need to add the element of surprise. Go right home this afternoon, grab your wife, and immediately make love to her, no matter what she's doing.' So I did!"	「我跟醫生說我的性生活無聊。他說『你得加點新鮮感。今天下午回家，逮住你老婆，不管她在幹嘛馬上跟她那個。』我就這樣幹了！」
"It was still the same old boring crap, but her bridge club got a tremendous kick out of it!!"	「還是老一套沒勁，不過她的麻將群組爽翻天了！！」
"How ugly is she?" you shout.	「她醜成什麼樣？」你大喊。
"I told my psychiatrist `Nobody pays any attention to me.'"	「我跟精神醫生說『沒人理我。』」
"He looks at me and says, `When did you get here?'"	「他看我一眼說，『你什麼時候來的？』」
"A man walks into a doctor's office with a frog on his head. The doctor says, `May I help you?'"	「一個傢伙頭上頂著隻青蛙走進醫生辦公室。醫生問『有什麼事嗎？』」
"The frog says, `Yeah, Doc. Could you take this wart off my ass?'"	「那隻青蛙說『是的醫生。你能幫我屁股上的疣搞掉嗎？』」
"My secretary is not only horny, she's ambitious. Today she asked me for a salary on next week's advance."	「我秘書不只發騷，還野心勃勃。今天她跟我要下禮拜的薪水預支。」
"Down the street there's a new, live, gay, sex show."	「街道那邊新開了個現場同志情色秀。」
"It's called `Anus and Andy.'"	「叫《肛門與安迪》。」
"Have ya seen the new R-rated movie about midgets? It features full runtal nudity."	「你看過那部侏儒限制級電影沒？全是小人裸體。」
"When I got married I asked my bride, `Do you perform fellatio?'"	「我結婚時問新娘『你會吹簫嗎？』」
"She said, `I dunno. I guess it depends on the fella!'"	「她說『我不知道。要看那傢伙是誰啦！』」
"Have you seen the impotent flasher in front of the wedding chapel next door?"	「你看過隔壁教堂前面那個陽痿的露鳥仔沒？」
"We call him our `public futility.'"	「我們叫他『公眾無用人』。」
"I hear the pimp at Lefty's won't let his girls perform oral sex."	「聽說 Lefty's 那邊的皮條客不讓他的妞們做口活。」
"They call him the `Headless Whoresman.'"	「大家叫他『無頭妓夫』。」
"My daughter came home from school today and tells me, `Eli Whitney invented the cotton gin.'"	「我女兒今天放學回來跟我說『Eli Whitney 發明了軋棉機。』」
"I said, `Who wants a fluffy martini?'"	「我說『誰想要有毛茶雞尾酒？』」
"It's called, `E.T., the Extra Testicle.'"	「叫《ET 第三顆蛋》。」
"Have you heard about the new film about marching band musicians?"	「你聽過那部關於行進樂隊的新電影沒？」
"It's called, `Desperately Seeking Sousa.'"	「叫《瘋狂尋找蘇沙》。」
"My son has a problem with compulsive masturbation. His psychiatrist says he's gone completely wacky."	「我兒子有強迫自慰症。他的精神科醫生說他完全瘋了。」
"My grandpa the farmer, finally got himself one of those latex ladies. I heard him singing about it the other day: `The farmer in the doll, the farmer in the doll...'"	「我農民爺爺終於搞到一個充氣娃娃。前幾天我聽他唱『農夫在娃娃裡，農夫在娃娃裡...』」
"I asked my wife, `How come you never tell me when you're having an orgasm?'"	「我問我老婆『你高潮的時候怎麼都不吱聲？』」
"She replied, `Because you're never around!'"	「她說『因為你根本不在家！』」
"She had a period six times in one day!"	「她一天來了六次月經！」
"They both come about every 76 years!"	「他們都是大概每76年來一次！」
"My son is becoming a real computer whiz!"	「我兒子成了電腦天才！」
"His teacher called him a `master byter.'"	「他老師叫他『位元組大師』。」
"My uncle the inventor crossed a cucumber with a Mexican jumping bean."	「我叔叔這個發明家把小黃瓜和墨西哥跳豆雜交。」
"Last week, I got arrested by a female cop. She asked me, `Are you carrying a concealed weapon?'"	「上禮拜我被一個女警察逮捕。她問我『你身上藏著凶器嗎？』」
"I replied, `Keep frisking me like that, and I soon will be!'"	「我說『你再這樣摸下去，我馬上就有了！』」
"They're marketing a new reproductive organ!"	「他們在推銷一個新的生殖器官！」
"What do you call a Roman with hair between his teeth?"	「一個牙縫裡有毛的羅馬人叫什麼？」
"Gladiator."	「角鬥士。」
"I always say that little things mean a lot!"	「我常說小東西也有大意義！」
"On the other hand, never underestimate the power of big, jiggly things!"	「另一方面，千萬別小看大晃晃東西的威力！」
"Have you heard about that new radio station in town, KPMS?"	「你聽過城裡那個新電台 KPMS 沒？」
"Every month they play three weeks of blues and a week of ragtime!"	「每個月播三週藍調，一週拉格時間音樂！」
"Waddaya waitin' for folks? This IS the `A' stuff!"	「各位還等什麼？這才是真正的頂級貨！」
"For this I spent four years in college?"	「我大學唸四年就為了這？」
The entrance to the Casino's Cabaret Lounge is to the right. A glass elevator awaits your entrance. An ashtray sits in front of that planter full of plastic plants.	賭場歌舞廳入口在右邊。玻璃電梯在等你進來。一個煙灰缸放在塑膠植物花盆前面。
"...strangers in the night, da da da dee da..."	「...夜裡的陌生人，呣呣呣呣啦...」
(How you love Muzak!)	（你多喜歡這種背景音樂啊！）
You foolishly run your fingers through the discarded cigarette butts until you find one hot enough to burn you. Ouch!	你蠢得把手指插進煙蒂堆，結果找到一根還滾燙的燙傷自己。哎呀！
The ashtray is of no further interest to you.	煙灰缸再也激不起你的興趣。
The casino thoughtfully provides a courtesy telephone here in the lobby. Someone thoughtlessly filled its coin slot with chewing gum rendering it unusable to you.	賭場貼心地在大廳放了部免費電話。哪個白癡把口香糖塞進投幣孔，害你用不了。
You'd love to talk on the telephone, but this one is not in working order.	你很想打電話，奈何這部機器已經廢了。
You attempt to return the telephone to working order by prying the chewing gum out of the slot. You cannot. You'll just have to find another telephone.	你想把口香糖挖出來修好電話。但你做不到。只好去找別的電話了。
Yeah, it does smell like a public telephone!	沒錯，聞起來就是公用電話的臭味！
The plants are a member of your favorite species: polyvinyl chloride. You notice an ashtray in front of the planter.	這些植物是你最喜歡的物種：聚氯乙烯。你發現花盆前面有個煙灰缸。
To you, the plants have no distinctive smell or taste.	這些假花對你來說沒有特別的味道。
Carefully feeling the panes, you decide this window is really a painting.	仔細摸了摸窗格，你決定這根本就是幅畫。
You are in the Casino's hotel. Doors line every wall, many with "Do Not Disturb" signs hanging from their doorknobs.	你現在在賭場飯店。到處都是房間，很多門上掛著「勿擾」牌子。
(How you love Muzak.)	（你超喜歡背景音樂。）
Whew! You're dizzy.	哎喲！你暈得很。
You rap your knuckles on the door.	你敲了敲門。
"It says `Do NOT Disturb!' Can't you read?"	「牌子寫『勿擾』欸！你不識字嗎？」
"Oh, Chris, there's someone at the door!"	「喔，Chris，有人在敲門！」
"They're gonna have to wait, Kim Baby! It's too late for me to stop now!!"	「他們得等著，寶貝 Kim！我現在停不下來了！！」
"Baaaaah. Baaaaah!"	「咩...咩...」
Don't even ask, Larry!	別問，Larry！
"Oh, Bruce!"	「喔，Bruce！」
"Oh, Howard!"	「喔，Howard！」
"Oh, Terri!"	「喔，Terri！」
"Oh, Keri!"	「喔，Keri！」
An eye appears at the peephole.	眼睛出現在貓眼上。
"Hey, Mary! Isn't it a little early for Trick or Treaters?"	「嘿，Mary！要糖果的小鬼來得會不會太早？」
"Get away from him, you bully! He's mine."	「別靠近他，你這個渣男！他是我的。」
You loudly rap your knuckles on the door.	你大聲敲門。
There is no response to your knock, but now your knuckles hurt.	沒人應，反而你的指關節疼死了。
There's a click as she unlocks the door, then "Come on in, you wonderful hunk!"	傳來開鎖聲，然後「進來吧，你這玉樹臨風的傢伙！」
You can't wait!	你迫不及待！
Fawn's delicate voice booms out across the hotel, "Just a minute, Larry!"	Fawn 那嬌柔的嗓音在飯店迴盪，「稍等，Larry！」
You marvel at the hotel's efficiency. The elevator is always waiting for you.	你對飯店的效率讚歎不已。電梯永遠在等你。
The cheap, plastic heart is not worth taking.	那個廉價塑膠心沒有拿的價值。
It's a door not unlike all the others, except this one has a cute, little, trite, cracked, plastic heart stuck to it with a thumbtack.	這扇門跟其他的沒什麼兩樣，只不過上面用圖釘釘著一個可愛、小巧、陳腐、破裂的塑膠心形。
You are at the top floor of the hotel. That desk is where you lost your Faith, remember?	你現在在飯店頂樓。那張桌子就是你失去 Faith 的地方，記得嗎？
(Al's so proud he finally got to use THAT line!)	（Al 終於能用上那句台詞，爽到不行！）
You are at the top floor of the hotel. A beautiful security guard sits behind a desk.	你現在在飯店頂樓。一個漂亮的保安坐在桌子後面。
"I'm outta here!" cries Faith. "I've gotta get home to my boyfriend before this stuff wears off!"	「我閃了！」Faith 叫道。「得在這玩意兒失效前滾回去找我男友！」
"Hey, thanks a lot, buddy!" shouts Faith across the hotel. "We'll do it once for you!"	「嘿，謝了老兄！」Faith 對著飯店大喊。「我們會為你爽一次！」
Twisting her key in the lock, she disappears down the unmarked employee staircase.	她轉動鑰匙，沿著沒標示的員工樓梯消失無蹤。
Sorry, Larry. It appears Faith is true to her name.	抱歉，Larry。看來 Faith 真的對得起她的名字。
The penthouse elevator doors glide %s.	頂樓電梯門滑動 %s。
The doors are securely closed. A brass plate near the elevator says: "Private." There is no button nearby.	門關得死死的。電梯旁邊的銅牌寫著：「私人」。附近沒有按鈕。
"Hello? Hello?" you cry. There is no answer from within.	「有人嗎？有人嗎？」你大聲喊。裡面沒有人應。
Faith only gives the bottle of Spanish Fly a quick glance before saying, "Boy, thanks! How did you know I love this stuff?!"	Faith 只瞥了一眼西班牙蒼蠅藥瓶，就說「天啊，謝了！你怎麼知道我愛這東西？！」
She tosses back a few pills, then a few more, finally gulping down the whole bottle! Her breathing becomes faster and faster. She begins to pant!	她扔進嘴裡幾粒，再來幾粒，最後把整瓶都灌下去！她的呼吸越來越急促。她開始喘氣！
She's really getting turned on!	她真的發情了！
Her lips are moist and inviting, but then, you also felt that way about Mr. Bergman, your junior high school math instructor!	她的嘴脣濕潤又誘人，但你對國中數學老師 Bergman 先生也有過同樣的感覺！
She's the loveliest woman you've even been THIS close to, Larry.	她是你離得最近的最美女人了，Larry。
You long to get closer to her beautiful long neck.	你渴望靠更近那條美妙的長頸。
"Oh, DON'T do that!" she says, "I have a job to do here!"	「喔，別這樣！」她說，「我還有工作要做！」
You wonder just how religious this girl could be, wearing an outfit like that.	你想著這姑娘穿成那樣能有多虔誠。
Upon touching the cross, you feel a sudden inspiration.	你摸著十字架，靈光一現。
"What is your name?" you ask.	「你叫什麼名字？」你問。
"I'd love to run my fingers through your hair," you say.	「我想在你頭髮裡摸來摸去，」你說。
"From the looks of your hairline, you'd love to run your fingers through ANY hair!"	「從你的髮線看，你應該是對什麼毛髮都下手！」
"Your hair smells wonderful," you offer, assuming it's her shampoo you're smelling. "What's your brand?"	「你的頭髮香噴噴的，」你開口，假裝聞到的是洗髮精。「用什麼牌子的？」
