%m10%w1?	%m10%w1?
%m10%w2?	%m10%w2?
%m10%w3?	%m10%w3?
%m10%w4?	%m10%w4?
%m10%w5?	%m10%w5?
%m10%w6?	%m10%w6?
%m10%w7?	%m10%w7?
%m10%w8?	%m10%w8?
It smells as bad as you imagined.	聞起來跟你想的一樣臭。
It's not for using; IT'S A JOKE!!	這東西不是拿來用的；這是個笑話啦！！
Same to you, buddy!	「彼此彼此，老兄！」
And %w1 %w2 you, too!	還有 %w1 %w2 你，也是！
Yeah, you probably would, too!	是啊，你可能也會這樣做！
Tsk, tsk.	啧啧。
Ok, but I don't usually do that!	好啦，但我不常幹這種事！
You press the button on the remote control and...	你按下遙控器的按鈕，然後...
...nothing happens.	...什麼都沒發生。
Wearing the magic ring gives you powers far beyond those of...	戴上這只魔法戒指，你將擁有遠超乎...的超凡力量
...Oops. Wrong game.	...啊咧，你玩錯遊戲了啦！
Pretty dramatic, eh?	還滿戲劇化的吧，齁？
It smells good.	聞起來不賴。
You can't. There's no key in this game!	不行啦，這遊戲根本沒有鑰匙這種東西！
"Eeeyow! Do something about that breath of yours!"	「哇靠！你這口氣不處理一下不行啦！」
"Remember to buy more Sierra three-dimensional, graphic, adventure games!"	「別忘了多買幾套 Sierra 的立體冒險遊戲喔！」
You might want to read them.	你可能得讀一下。
Staring at the walls?	在瞪牆壁喔？
Climbing the walls already?	都已經無聊到想爬牆了喔？
It just lies there, under your feet.	它就躺在你腳下。
Sierra On-Line, Inc.  (209) 683-6858	Sierra On-Line, Inc.  (209) 683-6858
It tastes delicious. But nothing happens.	嚐起來很不錯。但什麼都沒發生。
Exactly how would you help?	你到底是要怎麼幫啊？
You'd better not. You might get your face slapped!	別啦。小心被打巴掌！
You don't have one.	你沒有。
Your mouth tastes like the inside of a motorman's glove!	你嘴巴的味道，跟公車司機的手套內裡有得拚！
Your breath smells like floor sweepings from a rendering plant.	你的口氣，像肉品廠地板掃出來的垃圾。
Your breath is enough to take your breath away.	你的口氣，臭到讓人喘不過氣。
Your mouth tastes like the drippings from a marathon runner's sock.	你嘴巴的味道，像馬拉松選手襪子擰出來的汗水。
It's still up there!	它還在上面！
It tastes delicious, but what about your acne?	嚐起來是不錯啦，但你的痘痘怎麼辦？
Whee!	耶！
There's no answer. Try opening it.	沒人應。試試打開它。
Ha, ha.	哈哈。
You find nothing.	你什麼都沒找到。
"HELP!"	"救人啦！"
"It's about time!!"	"總算啦！!"
Well, well. It looks like this month's issue is filled with intelligent, literary articles with redeeming social value.	嗯哼，這期雜誌看起來全是知性文藝、造福社會的好文章呢——嗯，是啦。
Since your breath sprayer is empty, you toss it away.	既然口氣噴霧空了，你就扔了它。
You used it all, remember.	你全用完了，還記得吧。
No place in Lost Wages accepts credit cards from the First National Bank of Libya.	失樂城沒有店家，收那種來路不明的地下三流銀行卡。
Obviously, restraint is no problem for you, Larry.	很明顯，「節制」對你來說根本不存在，賴瑞。
"Ha, ha!"	"哈哈！"
There's no time!	沒時間了！
That's an idea; it's just not a good idea!	是個主意啦，只是爛主意！
OK, but now it's gone forever!	好吧，但現在它永遠沒了！
"Hey, thanks a lot!"	「嘿，謝謝啦！」
But, now you'll NEVER get it back!	但，現在你永遠拿不回來了！
%m182rope.	%m182rope.
%m182hammer.	%m182hammer.
You have no 	你沒有
"Yuck!"	"呸！"
No one wants that!	誰要那種東西啊！
Pretty good company, eh?	滿不錯的同伴吧，齁？
Adventure Game Development System	Adventure Game Development System
(C) 1987 by Sierra On-Line, Inc.	(C) 1987 by Sierra On-Line, Inc.
Johnny Carson is\n\n  a. a singer.\n  b. David Letterman's\n       sidekick.\n  c. Ed McMahon's sidekick.\n  d. an actor.	約翰尼卡遜是\n\n  a. 歌手。\n  b. David Letterman 的\n       搭檔。\n  c. Ed McMahon 的搭檔。\n  d. 演員。\n\nJohnny Carson is\n\n  a. a singer.\n  b. David Letterman's\n       sidekick.\n  c. Ed McMahon's sidekick.\n  d. an actor.
VCR stands for\n\n  a. Very Confusing Record.\n  b. Visual Cartridge\n       Recording.\n  c. Very Complete Record.\n  d. Video Cassette Recorder.	VCR 代表\n\n  a. 很亂的錄音。\n  b. 視覺卡帶\n       錄製。\n  c. 完整錄音。\n  d. 錄影機。\n\nVCR stands for\n\n  a. Very Confusing Record.\n  b. Visual Cartridge\n       Recording.\n  c. Very Complete Record.\n  d. Video Cassette Recorder.
The East Coast is\n\n  a. home of the Mets.\n  b. a country.\n  c. where people talk funny.\n  d. adjacent to Texas.	東海岸是\n\n  a. 大都會隊的老巢。\n  b. 一個國家。\n  c. 人說話超怪的地方。\n  d. 靠近德州。\n\nThe East Coast is\n\n  a. home of the Mets.\n  b. a country.\n  c. where people talk funny.\n  d. adjacent to Texas.
Is this software pirated?\n\n  a. Yes.\n  b. I'm not talking.\n  c. No. (How could you\n       even ask!)\n  d. No, just borrowed.	這軟體是盜版嗎？\n\n  a. 是。\n  b. 我沒啥好說。\n  c. 不是。(你怎麼好意思\n       問！)\n  d. 沒有，只是借用。\n\nIs this software pirated?\n\n  a. Yes.\n  b. I'm not talking.\n  c. No. (How could you\n       even ask!)\n  d. No, just borrowed.
Pia Zadora is\n\n  a. sexy.\n  b. a singer.\n  c. short.\n  d. all of the above.	Pia Zadora 是\n\n  a. 性感。\n  b. 歌手。\n  c. 嬌小。\n  d. 以上全對。\n\nPia Zadora is\n\n  a. sexy.\n  b. a singer.\n  c. short.\n  d. all of the above.
The world is\n\n  a. flat.\n  b. spherical.\n  c. a big place.\n  d. near Fresno.	這世界是\n\n  a. 平的。\n  b. 球形的。\n  c. 很大地方。\n  d. 靠近 Fresno。\n\nThe world is\n\n  a. flat.\n  b. spherical.\n  c. a big place.\n  d. near Fresno.
"Let It Be" was recorded by\n\n  a. the Rolling Stones.\n  b. the Monkees.\n  c. Creedence Clearwater.\n  d. the Beatles.	"Let It Be" 是由誰錄製\n\n  a. The Rolling Stones。\n  b. The Monkees。\n  c. Creedence Clearwater。\n  d. The Beatles。\n\n"Let It Be" was recorded by\n\n  a. the Rolling Stones.\n  b. the Monkees.\n  c. Creedence Clearwater.\n  d. the Beatles.
All politicians are\n\n  a. hardworking.\n  b. honest.\n  c. ethical.\n  d. on the public payroll.	所有政客都是\n\n  a. 勤快。\n  b. 誠實。\n  c. 有道德。\n  d. 領公家薪水。\n\nAll politicians are\n\n  a. hardworking.\n  b. honest.\n  c. ethical.\n  d. on the public payroll.
Lingerie is\n\n  a. sexy.\n  b. a kind of car.\n  c. a French food.\n  d. edible.	內衣是\n\n  a. 性感。\n  b. 一種車。\n  c. 法國食物。\n  d. 可以吃。\n\nLingerie is\n\n  a. sexy.\n  b. a kind of car.\n  c. a French food.\n  d. edible.
Paul, John, Ringo and\n\n  a. Fred.\n  b. George.\n  c. Harry.\n  d. me.	Paul、John、Ringo 和\n\n  a. Fred。\n  b. George。\n  c. Harry。\n  d. 我。\n\nPaul, John, Ringo and\n\n  a. Fred.\n  b. George.\n  c. Harry.\n  d. me.
Do girls really have cooties?\n\n  a. Yes.\n  b. No.\n  c. Some do, some don't.\n  d. Maybe.	女生真的有病菌嗎？\n\n  a. 有。\n  b. 沒有。\n  c. 有些有，有些沒。\n  d. 也許。\n\nDo girls really have cooties?\n\n  a. Yes.\n  b. No.\n  c. Some do, some don't.\n  d. Maybe.
Which song was not recorded by Elvis?\n\n  a. "Hound Dog"\n  b. "Love Me Tender"\n  c. "What'd I Say"\n  d. "Heartbreak Hotel"	哪首歌不是 Elvis 錄的？\n\n  a. "Hound Dog"\n  b. "Love Me Tender"\n  c. "What'd I Say"\n  d. "Heartbreak Hotel"\n\nWhich song was not recorded by Elvis?\n\n  a. "Hound Dog"\n  b. "Love Me Tender"\n  c. "What'd I Say"\n  d. "Heartbreak Hotel"
Edsel is a\n\n  a. girl's name.\n  b. plane.\n  c. car.\n  d. great investment.	Edsel 是\n\n  a. 女孩的名字。\n  b. 飛機。\n  c. 汽車。\n  d. 很棒的投資。\n\nEdsel is a\n\n  a. girl's name.\n  b. plane.\n  c. car.\n  d. great investment.
Sex is\n\n  a. great.\n  b. ok.\n  c. a spectator sport.\n  d. a mystery to me.	性愛是\n\n  a. 棒得要命。\n  b. 還行。\n  c. 觀賞運動。\n  d. 對我來說是謎。\n\nSex is\n\n  a. great.\n  b. ok.\n  c. a spectator sport.\n  d. a mystery to me.
Richard Nixon was the _____ President of the United States.\n\n  a. last\n  b. funniest\n  c. thirty-seventh\n  d. first Negro	Richard Nixon 是美國的\n_____ 總統。\n\n  a. 最後一位\n  b. 最搞笑\n  c. 第 37 位\n  d. 第一位黑人\n\nRichard Nixon was the _____ President of the United States.\n\n  a. last\n  b. funniest\n  c. thirty-seventh\n  d. first Negro
During the 70's, Carroll O'Connor portrayed a\n\n  a. kindly doctor.\n  b. lovable bigot.\n  c. handicapped lawyer.\n  d. Negro junk dealer.	70 年代，Carroll O'Connor\n飾演\n\n  a. 親切醫生。\n  b. 可愛的偏執狂。\n  c. 身障律師。\n  d. 黑人收破爛商人。\n\nDuring the 70's, Carroll O'Connor portrayed a\n\n  a. kindly doctor.\n  b. lovable bigot.\n  c. handicapped lawyer.\n  d. Negro junk dealer.
The song "American Pie" was about\n\n  a. miscegenation.\n  b. Marilyn Chambers.\n  c. a dead rock star.\n  d. four minutes too long.	"American Pie" 這首歌\n關於\n\n  a. 種族混雜。\n  b. Marilyn Chambers。\n  c. 死掉的搖滾明星。\n  d. 長了四分鐘。\n\nThe song "American Pie" was about\n\n  a. miscegenation.\n  b. Marilyn Chambers.\n  c. a dead rock star.\n  d. four minutes too long.
Thomas Eagleton was dropped from the 1972 Democratic National Ticket when knowledge of his previous _____ treatments became known.\n\n  a. skin\n  b. screen\n  c. shock\n  d. scalp	Thomas Eagleton 因為他\n過去的 _____ 治療被揭露\n而被 1972 民主黨提名\n除名。\n\n  a. 皮膚\n  b. 銀幕\n  c. 電擊\n  d. 頭皮\n\nThomas Eagleton was dropped from the 1972 Democratic National Ticket when knowledge of his previous _____ treatments became known.\n\n  a. skin\n  b. screen\n  c. shock\n  d. scalp
The 70's practice of running around naked was called\n\n  a. flashing.\n  b. streaking.\n  c. swinging.\n  d. on account of rain.	70 年代光著身子跑來跑去\n叫\n\n  a. 露出。\n  b. 狂奔。\n  c. 交換伴侶。\n  d. 下雨。\n\nThe 70's practice of running around naked was called\n\n  a. flashing.\n  b. streaking.\n  c. swinging.\n  d. on account of rain.
Peter Benchley's novel "Jaws" was about\n\n  a. Linda Lovelace.\n  b. dieting.\n  c. Joan Rivers.\n  d. sharks.	Peter Benchley 的小說\n"Jaws" 關於\n\n  a. Linda Lovelace。\n  b. 節食。\n  c. Joan Rivers。\n  d. 鯊魚。\n\nPeter Benchley's novel "Jaws" was about\n\n  a. Linda Lovelace.\n  b. dieting.\n  c. Joan Rivers.\n  d. sharks.
Who was not Vice-President of the United States in 1973-74?\n\n  a. Gerald Ford\n  b. Nelson Rockefeller\n  c. Thomas Hayden\n  d. Spiro Agnew	1973-74 年誰不是美國\n副總統？\n\n  a. Gerald Ford\n  b. Nelson Rockefeller\n  c. Thomas Hayden\n  d. Spiro Agnew\n\nWho was not Vice-President of the United States in 1973-74?\n\n  a. Gerald Ford\n  b. Nelson Rockefeller\n  c. Thomas Hayden\n  d. Spiro Agnew
The "Chicago Seven" was\n\n  a. some people who only\n       seem crazy in\n       retrospect.\n  b. the Bears' defensive\n       line.\n  c. burned for showing\n       "Country" in three\n       different theatres.\n  d. partially convicted.	"芝加哥七君子" 是\n\n  a. 一些事後看來才瘋狂\n       的人。\n  b. 熊隊防線。\n  c. 因為放映\n       "Country" 被燒。\n  d. 部分定罪。\n\nThe "Chicago Seven" was\n\n  a. some people who only\n       seem crazy in\n       retrospect.\n  b. the Bears' defensive\n       line.\n  c. burned for showing\n       "Country" in three\n       different theatres.\n  d. partially convicted.
President Ford prescribed _____ for dealing with economic problems.\n\n  a. tranquilizers\n  b. employment\n  c. that everyone wear a\n       WIN button\n  d. that everyone should\n       have a nice day	福特總統開的處方治療\n經濟問題是 _____。\n\n  a. 鎮定劑\n  b. 就業\n  c. 每個人都戴 WIN 鈕\n  d. 每個人開心度過\n\nPresident Ford prescribed _____ for dealing with economic problems.\n\n  a. tranquilizers\n  b. employment\n  c. that everyone wear a\n       WIN button\n  d. that everyone should\n       have a nice day
The tackiest seventies fashion was\n\n  a. platform shoes.\n  b. midi-skirts.\n  c. short hair.\n  d. bisexuality.	最俗氣的 70 年代時尚是\n\n  a. 厚底鞋。\n  b. 中長裙。\n  c. 短髮。\n  d. 雙性戀。\n\nThe tackiest seventies fashion was\n\n  a. platform shoes.\n  b. midi-skirts.\n  c. short hair.\n  d. bisexuality.
O. J. Simpson is\n\n  a. an R & B singer.\n  b. under indictment.\n  c. embarrassed by his first\n       name (Olivia).\n  d. no one to fool with.	O. J. Simpson 是\n\n  a. R&B 歌手。\n  b. 被起訴。\n  c. 為他的名字 (Olivia)\n       感到尷尬。\n  d. 不好惹的人。\n\nO. J. Simpson is\n\n  a. an R & B singer.\n  b. under indictment.\n  c. embarrassed by his first\n       name (Olivia).\n  d. no one to fool with.
Angela Davis is\n\n  a. the middle Pointer\n       Sister.\n  b. a failed politician.\n  c. an example of split ends\n       gone wild.\n  d. Bette's daughter.	Angela Davis 是\n\n  a. Pointer 姐妹中間的。\n  b. 失敗政客。\n  c. 分叉毛亂翹的例子。\n  d. Bette 的女兒。\n\nAngela Davis is\n\n  a. the middle Pointer\n       Sister.\n  b. a failed politician.\n  c. an example of split ends\n       gone wild.\n  d. Bette's daughter.
Detente is\n\n  a. prohibited by law in\n       41 states.\n  b. a feminine hygiene\n       spray.\n  c. the masculine form of\n       "deteuse."\n  d. a policy to replace war.	緩和政策是\n\n  a. 在 41 個州被禁止。\n  b. 女性衛生噴霧。\n  c. "deteuse" 的陽性形式。\n  d. 用來取代戰爭的政策。\n\nDetente is\n\n  a. prohibited by law in\n       41 states.\n  b. a feminine hygiene\n       spray.\n  c. the masculine form of\n       "deteuse."\n  d. a policy to replace war.
Kwi-Chang-Caine became famous by saying\n\n  a. "I am not a crook."\n  b. "The barren fig tree\n        bears no plums."\n  c. "Hi, sailor.\n        New in town?"\n  d. "Aaaaaiiiyeeeaagggh!"	Kwi-Chang-Caine 因說\n\n  a. "我不是騙子。"\n  b. "貧瘠的無花果樹\n        結不出李子。"\n  c. "嗨，水手。\n        剛到城裡？"\n  d. "啊啊啊啊啊啊啊啊！"\n\nKwi-Chang-Caine became famous by saying\n\n  a. "I am not a crook."\n  b. "The barren fig tree\n        bears no plums."\n  c. "Hi, sailor.\n        New in town?"\n  d. "Aaaaaiiiyeeeaagggh!"
Ted Kennedy is best remem- bered for his\n\n  a. driving.\n  b. underwater free-style.\n  c. brothers.\n  d. All of the above.	Ted Kennedy 最著名的是\n他的\n\n  a. 開車。\n  b. 水下自由式。\n  c. 兄弟們。\n  d. 以上全對。\n\nTed Kennedy is best remem- bered for his\n\n  a. driving.\n  b. underwater free-style.\n  c. brothers.\n  d. All of the above.
"NORML" is\n\n  a. not gay.\n  b. what Falwell wants you\n       to be.\n  c. trying to legalize\n       marijuana.\n  d. misspelled.	"NORML" 是\n\n  a. 不是同志。\n  b. Falwell 要你的樣子。\n  c. 試圖大麻合法化。\n  d. 拼錯。\n\n"NORML" is\n\n  a. not gay.\n  b. what Falwell wants you\n       to be.\n  c. trying to legalize\n       marijuana.\n  d. misspelled.
Tom Hayden is\n\n  a. one of the Chicago\n       Seven.\n  b. a U. S. Congressman.\n  c. Mr. Jane Fonda.\n  d. All of the above.	Tom Hayden 是\n\n  a. 芝加哥七君子之一。\n  b. 美國眾議院議員。\n  c. Jane Fonda 的老公。\n  d. 以上全對。\n\nTom Hayden is\n\n  a. one of the Chicago\n       Seven.\n  b. a U. S. Congressman.\n  c. Mr. Jane Fonda.\n  d. All of the above.
Spiro Agnew is\n\n  a. a form of social\n       disease.\n  b. a jazz-fusion rock band.\n  c. a former Vice President.\n  d. the first woman in\n       Congress.	Spiro Agnew 是\n\n  a. 一種社會病。\n  b. 爵士搖滾樂團。\n  c. 前副總統。\n  d. 國會第一位女性。\n\nSpiro Agnew is\n\n  a. a form of social\n       disease.\n  b. a jazz-fusion rock band.\n  c. a former Vice President.\n  d. the first woman in\n       Congress.
The germ that transmits syphilis is\n\n  a. Spiro Agnew.\n  b. Spirochete.\n  c. Spirograph.\n  d. Barbarella.	傳播梅毒的細菌是\n\n  a. Spiro Agnew。\n  b. 螺旋體。\n  c. Spirograph。\n  d. Barbarella。\n\nThe germ that transmits syphilis is\n\n  a. Spiro Agnew.\n  b. Spirochete.\n  c. Spirograph.\n  d. Barbarella.
Kookie's address was\n\n  a. 77 Sunset Strip.\n  b. on Wistful Vista Street.\n  c. 334 Elm Street.\n  d. 1313 Mockingbird Lane.	Kookie 的地址是\n\n  a. 日落大道 77 號。\n  b. 思鄉街。\n  c. 榆樹街 334 號。\n  d. 知更鳥巷 1313 號。\n\nKookie's address was\n\n  a. 77 Sunset Strip.\n  b. on Wistful Vista Street.\n  c. 334 Elm Street.\n  d. 1313 Mockingbird Lane.
"Who knows what evil lurks in the hearts of men?"\n\n  a. The Psychiatrist\n  b. The Shadow\n  c. The Creeper\n  d. Ingmar Bergman	"誰知道人心中有什麼邪惡？"\n\n  a. 心理醫生。\n  b. 影子俠。\n  c. 爬行者。\n  d. Ingmar Bergman。\n\n"Who knows what evil lurks in the hearts of men?"\n\n  a. The Psychiatrist\n  b. The Shadow\n  c. The Creeper\n  d. Ingmar Bergman
Al Lowe is:\n\n  a. under 25.\n  b. pregnant.\n  c. never "carded."\n  d. a Woody Allen\n       impersonator.	Al Lowe 是：\n\n  a. 未滿 25。\n  b. 懷孕。\n  c. 從未被驗證身份。\n  d. Woody Allen\n       模仿者。\n\nAl Lowe is:\n\n  a. under 25.\n  b. pregnant.\n  c. never "carded."\n  d. a Woody Allen\n       impersonator.
Frank Sinatra is a\n\n  a. female impersonator.\n  b. shy pacifist.\n  c. saloon singer.\n  d. distance runner.	Frank Sinatra 是\n\n  a. 女性模仿者。\n  b. 害羞和平主義者。\n  c. 酒吧歌手。\n  d. 長距離跑者。\n\nFrank Sinatra is a\n\n  a. female impersonator.\n  b. shy pacifist.\n  c. saloon singer.\n  d. distance runner.
Ralph Boysen invented\n\n  a. the boysenberry.\n  b. fins on 50's cars.\n  c. bell bottomed jeans.\n  d. the juke box.	Ralph Boysen 發明了\n\n  a. 波森莓。\n  b. 50 年代汽車的鰭。\n  c. 喇叭褲。\n  d. 點唱機。\n\nRalph Boysen invented\n\n  a. the boysenberry.\n  b. fins on 50's cars.\n  c. bell bottomed jeans.\n  d. the juke box.
The first man on the moon was\n\n  a. John Glenn.\n  b. Neil Diamond.\n  c. Neil Armstrong.\n  d. Jack Armstrong.	第一個踏上月球的人是\n\n  a. John Glenn。\n  b. Neil Diamond。\n  c. Neil Armstrong。\n  d. Jack Armstrong。\n\nThe first man on the moon was\n\n  a. John Glenn.\n  b. Neil Diamond.\n  c. Neil Armstrong.\n  d. Jack Armstrong.
"Gone With The Wind" is about\n\n  a. outer space.\n  b. a bank robbery.\n  c. four hours long.\n  d. dust.	"亂世佳人" 關於\n\n  a. 外太空。\n  b. 銀行搶劫。\n  c. 四小時長。\n  d. 灰塵。\n\n"Gone With The Wind" is about\n\n  a. outer space.\n  b. a bank robbery.\n  c. four hours long.\n  d. dust.
Who is not a sportscaster?\n\n  a. Jayne Kennedy\n  b. Howard Cosell\n  c. Jayne Mansfield\n  d. Frank Gifford	誰不是體育解說者？\n\n  a. Jayne Kennedy\n  b. Howard Cosell\n  c. Jayne Mansfield\n  d. Frank Gifford\n\nWho is not a sportscaster?\n\n  a. Jayne Kennedy\n  b. Howard Cosell\n  c. Jayne Mansfield\n  d. Frank Gifford
Which is not a wine?\n\n  a. Colombard\n  b. Bon Aire\n  c. Cabernet\n  d. Muscatel	哪個不是葡萄酒？\n\n  a. Colombard\n  b. Bon Aire\n  c. Cabernet\n  d. Muscatel\n\nWhich is not a wine?\n\n  a. Colombard\n  b. Bon Aire\n  c. Cabernet\n  d. Muscatel
Which is not a mountain range?\n\n  a. Cayman\n  b. Appalachian\n  c. Rockies\n  d. Himalayas	哪個不是山脈？\n\n  a. Cayman\n  b. Appalachian\n  c. Rockies\n  d. Himalayas\n\nWhich is not a mountain range?\n\n  a. Cayman\n  b. Appalachian\n  c. Rockies\n  d. Himalayas
In the movie, "Paint Your Wagon," Clint Eastwood sang\n\n  a. "I Talk to the Trees"\n  b. "Go Ahead, Make My\n       Wagon"\n  c. "I If Had A Mayor"\n  d. None of the above.	在 "Paint Your Wagon"\n電影裡，Clint Eastwood\n唱了\n\n  a. "I Talk to the Trees"\n  b. "Go Ahead, Make My\n       Wagon"\n  c. "I If Had A Mayor"\n  d. 以上皆非。\n\nIn the movie, "Paint Your Wagon," Clint Eastwood sang\n\n  a. "I Talk to the Trees"\n  b. "Go Ahead, Make My\n       Wagon"\n  c. "I If Had A Mayor"\n  d. None of the above.
The drink "Screwdriver" contains\n\n  a. tomato juice.\n  b. orange juice.\n  c. grapefruit juice.\n  d. borax.	"Screwdriver" 飲料\n含有\n\n  a. 番茄汁。\n  b. 柳橙汁。\n  c. 葡萄柚汁。\n  d. 硼砂。\n\nThe drink "Screwdriver" contains\n\n  a. tomato juice.\n  b. orange juice.\n  c. grapefruit juice.\n  d. borax.
