%m10%w1?	%m10%w1?
%m10%w2?	%m10%w2?
%m10%w3?	%m10%w3?
%m10%w4?	%m10%w4?
%m10%w5?	%m10%w5?
%m10%w6?	%m10%w6?
%m10%w7?	%m10%w7?
%m10%w8?	%m10%w8?
Just walk there.	Just walk there.
Oh, %w1, %w1, %w1! Doesn't anybody _____ anymore?	Oh, %w1, %w1, %w1! Doesn't anybody _____ anymore?
%m53?	%m53?
%m53 %w3?	%m53 %w3?
What would you do with the %w2	What would you do with the %w2
How can you use that which you do not have?	How can you use that which you do not have?
You're not close enough.	You're not close enough.
You already have it.	You already have it.
Ok.	Ok.
That comes later.	That comes later.
Sierra 	Sierra 
About Larry	About Larry
Help   <F1>	Help   <F1>
-----------	-----------
Calculator 	Calculator 
Puzzle     	Puzzle     
File 	File 
Save     <F5>	Save     <F5>
Restore  <F7>	Restore  <F7>
-------------	-------------
Restart  <F9>	Restart  <F9>
Quit  <Alt-Z>	Quit  <Alt-Z>
Action 	Action 
Inventory  <Tab>	Inventory  <Tab>
See Object      	See Object      
Bodily Function 	Bodily Function 
Special 	Special 
Sound On/Off      <F2>	Sound On/Off      <F2>
Graphics Mode <Ctrl-R>	Graphics Mode <Ctrl-R>
Joystick      <Ctrl-J>	Joystick      <Ctrl-J>
Clock On/Off          	Clock On/Off          
Pause Game            	Pause Game            
Speed 	Speed 
Normal       	Normal       
Slow         	Slow         
Fast         	Fast         
Fastest      	Fastest      
Change  <F10>	Change  <F10>
Boss Key      <Ctrl-B>	Boss Key      <Ctrl-B>
\n\nYou've been playing for\n	\n\nYou've been playing for\n
Psssft. Psssft.	Psssft. Psssft.
Ahhh.	Ahhh.
Yep, it's a door!	Yep, it's a door!
Watch it, Larry. You're going to get your face slapped!	Watch it, Larry. You're going to get your face slapped!
Now?!	Now?!
Ok.\n\nYour thirst is gone, the bottle is empty, and your breath is revolting.	Ok.\n\nYour thirst is gone, the bottle is empty, and your breath is revolting.
"Hey, dork! You've got toilet paper stuck to your shoe!"	"Hey, dork! You've got toilet paper stuck to your shoe!"
"Phew! You smell like a used fire hydrant!"	"Phew! You smell like a used fire hydrant!"
Just a moment, please...	Just a moment, please...
2	2
+ 2	+ 2
---	---
  4	  4
   This is about the extent of\n    your mathematical abilities.	   This is about the extent of\n    your mathematical abilities.
---------------------	---------------------
|  1 |  2 |  3 |  4 |	|  1 |  2 |  3 |  4 |
|  5 |  6 |  7 |  8 |	|  5 |  6 |  7 |  8 |
|  9 | 10 | 11 | 12 |	|  9 | 10 | 11 | 12 |
| 13 | 14 | 15 | 16 |	| 13 | 14 | 15 | 16 |
|----|----|----|----|	|----|----|----|----|
How's this thing work, anyway?	How's this thing work, anyway?
Enter function: 	Enter function: 
You quickly turn around, %s11, and feel much better. A hint of a smile crosses your lips.	You quickly turn around, %s11, and feel much better. A hint of a smile crosses your lips.
Larry, the whole idea was to stop doing that!	Larry, the whole idea was to stop doing that!
do nothing	do nothing
You talk to yourself, and find you already know what you're going to say.	You talk to yourself, and find you already know what you're going to say.
Good idea. You carefully remove and dispose of it properly.	Good idea. You carefully remove and dispose of it properly.
You nonchalantly scrape it off.	You nonchalantly scrape it off.
Oh, no! You are now penniless. You hock your leisure suit, and spend the rest of your life on skid row eating discarded fast food.	Oh, no! You are now penniless. You hock your leisure suit, and spend the rest of your life on skid row eating discarded fast food.
The rest of your story is too sad to tell. Time for a little "R & R," Larry -- Restart or Restore!	The rest of your story is too sad to tell. Time for a little "R & R," Larry -- Restart or Restore!
It smells as bad as you imagined.	It smells as bad as you imagined.
It's not for using; IT'S A JOKE!!	It's not for using; IT'S A JOKE!!
Same to you, buddy!	Same to you, buddy!
And %w1 %w2 you, too!	And %w1 %w2 you, too!
Yeah, you probably would, too!	Yeah, you probably would, too!
Tsk, tsk.	Tsk, tsk.
Ok, but I don't usually do that!	Ok, but I don't usually do that!
You press the button on the remote control and...	You press the button on the remote control and...
...nothing happens.	...nothing happens.
Wearing the magic ring gives you powers far beyond those of...	Wearing the magic ring gives you powers far beyond those of...
...Oops. Wrong game.	...Oops. Wrong game.
Pretty dramatic, eh?	Pretty dramatic, eh?
It smells good.	It smells good.
You can't. There's no key in this game!	You can't. There's no key in this game!
"Eeeyow! Do something about that breath of yours!"	"Eeeyow! Do something about that breath of yours!"
"Remember to buy more Sierra three-dimensional, graphic, adventure games!"	"Remember to buy more Sierra three-dimensional, graphic, adventure games!"
You might want to read them.	You might want to read them.
Staring at the walls?	Staring at the walls?
Climbing the walls already?	Climbing the walls already?
It just lies there, under your feet.	It just lies there, under your feet.
Sierra On-Line, Inc.  (209) 683-6858	Sierra On-Line, Inc.  (209) 683-6858
It tastes delicious. But nothing happens.	It tastes delicious. But nothing happens.
Exactly how would you help?	Exactly how would you help?
You'd better not. You might get your face slapped!	You'd better not. You might get your face slapped!
You don't have one.	You don't have one.
Your mouth tastes like the inside of a motorman's glove!	Your mouth tastes like the inside of a motorman's glove!
Your breath smells like floor sweepings from a rendering plant.	Your breath smells like floor sweepings from a rendering plant.
Your breath is enough to take your breath away.	Your breath is enough to take your breath away.
Your mouth tastes like the drippings from a marathon runner's sock.	Your mouth tastes like the drippings from a marathon runner's sock.
It's still up there!	It's still up there!
It tastes delicious, but what about your acne?	It tastes delicious, but what about your acne?
Whee!	Whee!
There's no answer. Try opening it.	There's no answer. Try opening it.
Ha, ha.	Ha, ha.
You find nothing.	You find nothing.
"HELP!"	"HELP!"
"It's about time!!"	"It's about time!!"
Well, well. It looks like this month's issue is filled with intelligent, literary articles with redeeming social value.	Well, well. It looks like this month's issue is filled with intelligent, literary articles with redeeming social value.
Since your breath sprayer is empty, you toss it away.	Since your breath sprayer is empty, you toss it away.
You used it all, remember.	You used it all, remember.
No place in Lost Wages accepts credit cards from the First National Bank of Libya.	No place in Lost Wages accepts credit cards from the First National Bank of Libya.
Obviously, restraint is no problem for you, Larry.	Obviously, restraint is no problem for you, Larry.
"Ha, ha!"	"Ha, ha!"
There's no time!	There's no time!
That's an idea; it's just not a good idea!	That's an idea; it's just not a good idea!
OK, but now it's gone forever!	OK, but now it's gone forever!
"Hey, thanks a lot!"	"Hey, thanks a lot!"
But, now you'll NEVER get it back!	But, now you'll NEVER get it back!
%m182rope.	%m182rope.
%m182hammer.	%m182hammer.
You have no 	You have no 
"Yuck!"	"Yuck!"
No one wants that!	No one wants that!
Pretty good company, eh?	Pretty good company, eh?
Adventure Game Development System	Adventure Game Development System
(C) 1987 by Sierra On-Line, Inc.	(C) 1987 by Sierra On-Line, Inc.
Johnny Carson is\n\n  a. a singer.\n  b. David Letterman's\n       sidekick.\n  c. Ed McMahon's sidekick.\n  d. an actor.	Johnny Carson is\n\n  a. a singer.\n  b. David Letterman's\n       sidekick.\n  c. Ed McMahon's sidekick.\n  d. an actor.
VCR stands for\n\n  a. Very Confusing Record.\n  b. Visual Cartridge\n       Recording.\n  c. Very Complete Record.\n  d. Video Cassette Recorder.	VCR stands for\n\n  a. Very Confusing Record.\n  b. Visual Cartridge\n       Recording.\n  c. Very Complete Record.\n  d. Video Cassette Recorder.
The East Coast is\n\n  a. home of the Mets.\n  b. a country.\n  c. where people talk funny.\n  d. adjacent to Texas.	The East Coast is\n\n  a. home of the Mets.\n  b. a country.\n  c. where people talk funny.\n  d. adjacent to Texas.
Is this software pirated?\n\n  a. Yes.\n  b. I'm not talking.\n  c. No. (How could you\n       even ask!)\n  d. No, just borrowed.	Is this software pirated?\n\n  a. Yes.\n  b. I'm not talking.\n  c. No. (How could you\n       even ask!)\n  d. No, just borrowed.
Pia Zadora is\n\n  a. sexy.\n  b. a singer.\n  c. short.\n  d. all of the above.	Pia Zadora is\n\n  a. sexy.\n  b. a singer.\n  c. short.\n  d. all of the above.
The world is\n\n  a. flat.\n  b. spherical.\n  c. a big place.\n  d. near Fresno.	The world is\n\n  a. flat.\n  b. spherical.\n  c. a big place.\n  d. near Fresno.
"Let It Be" was recorded by\n\n  a. the Rolling Stones.\n  b. the Monkees.\n  c. Creedence Clearwater.\n  d. the Beatles.	"Let It Be" was recorded by\n\n  a. the Rolling Stones.\n  b. the Monkees.\n  c. Creedence Clearwater.\n  d. the Beatles.
All politicians are\n\n  a. hardworking.\n  b. honest.\n  c. ethical.\n  d. on the public payroll.	All politicians are\n\n  a. hardworking.\n  b. honest.\n  c. ethical.\n  d. on the public payroll.
Lingerie is\n\n  a. sexy.\n  b. a kind of car.\n  c. a French food.\n  d. edible.	Lingerie is\n\n  a. sexy.\n  b. a kind of car.\n  c. a French food.\n  d. edible.
Paul, John, Ringo and\n\n  a. Fred.\n  b. George.\n  c. Harry.\n  d. me.	Paul, John, Ringo and\n\n  a. Fred.\n  b. George.\n  c. Harry.\n  d. me.
Do girls really have cooties?\n\n  a. Yes.\n  b. No.\n  c. Some do, some don't.\n  d. Maybe.	Do girls really have cooties?\n\n  a. Yes.\n  b. No.\n  c. Some do, some don't.\n  d. Maybe.
Which song was not recorded by Elvis?\n\n  a. "Hound Dog"\n  b. "Love Me Tender"\n  c. "What'd I Say"\n  d. "Heartbreak Hotel"	Which song was not recorded by Elvis?\n\n  a. "Hound Dog"\n  b. "Love Me Tender"\n  c. "What'd I Say"\n  d. "Heartbreak Hotel"
Edsel is a\n\n  a. girl's name.\n  b. plane.\n  c. car.\n  d. great investment.	Edsel is a\n\n  a. girl's name.\n  b. plane.\n  c. car.\n  d. great investment.
Sex is\n\n  a. great.\n  b. ok.\n  c. a spectator sport.\n  d. a mystery to me.	Sex is\n\n  a. great.\n  b. ok.\n  c. a spectator sport.\n  d. a mystery to me.
Richard Nixon was the _____ President of the United States.\n\n  a. last\n  b. funniest\n  c. thirty-seventh\n  d. first Negro	Richard Nixon was the _____ President of the United States.\n\n  a. last\n  b. funniest\n  c. thirty-seventh\n  d. first Negro
During the 70's, Carroll O'Connor portrayed a\n\n  a. kindly doctor.\n  b. lovable bigot.\n  c. handicapped lawyer.\n  d. Negro junk dealer.	During the 70's, Carroll O'Connor portrayed a\n\n  a. kindly doctor.\n  b. lovable bigot.\n  c. handicapped lawyer.\n  d. Negro junk dealer.
The song "American Pie" was about\n\n  a. miscegenation.\n  b. Marilyn Chambers.\n  c. a dead rock star.\n  d. four minutes too long.	The song "American Pie" was about\n\n  a. miscegenation.\n  b. Marilyn Chambers.\n  c. a dead rock star.\n  d. four minutes too long.
Thomas Eagleton was dropped from the 1972 Democratic National Ticket when knowledge of his previous _____ treatments became known.\n\n  a. skin\n  b. screen\n  c. shock\n  d. scalp	Thomas Eagleton was dropped from the 1972 Democratic National Ticket when knowledge of his previous _____ treatments became known.\n\n  a. skin\n  b. screen\n  c. shock\n  d. scalp
The 70's practice of running around naked was called\n\n  a. flashing.\n  b. streaking.\n  c. swinging.\n  d. on account of rain.	The 70's practice of running around naked was called\n\n  a. flashing.\n  b. streaking.\n  c. swinging.\n  d. on account of rain.
Peter Benchley's novel "Jaws" was about\n\n  a. Linda Lovelace.\n  b. dieting.\n  c. Joan Rivers.\n  d. sharks.	Peter Benchley's novel "Jaws" was about\n\n  a. Linda Lovelace.\n  b. dieting.\n  c. Joan Rivers.\n  d. sharks.
Who was not Vice-President of the United States in 1973-74?\n\n  a. Gerald Ford\n  b. Nelson Rockefeller\n  c. Thomas Hayden\n  d. Spiro Agnew	Who was not Vice-President of the United States in 1973-74?\n\n  a. Gerald Ford\n  b. Nelson Rockefeller\n  c. Thomas Hayden\n  d. Spiro Agnew
The "Chicago Seven" was\n\n  a. some people who only\n       seem crazy in\n       retrospect.\n  b. the Bears' defensive\n       line.\n  c. burned for showing\n       "Country" in three\n       different theatres.\n  d. partially convicted.	The "Chicago Seven" was\n\n  a. some people who only\n       seem crazy in\n       retrospect.\n  b. the Bears' defensive\n       line.\n  c. burned for showing\n       "Country" in three\n       different theatres.\n  d. partially convicted.
President Ford prescribed _____ for dealing with economic problems.\n\n  a. tranquilizers\n  b. employment\n  c. that everyone wear a\n       WIN button\n  d. that everyone should\n       have a nice day	President Ford prescribed _____ for dealing with economic problems.\n\n  a. tranquilizers\n  b. employment\n  c. that everyone wear a\n       WIN button\n  d. that everyone should\n       have a nice day
The tackiest seventies fashion was\n\n  a. platform shoes.\n  b. midi-skirts.\n  c. short hair.\n  d. bisexuality.	The tackiest seventies fashion was\n\n  a. platform shoes.\n  b. midi-skirts.\n  c. short hair.\n  d. bisexuality.
O. J. Simpson is\n\n  a. an R & B singer.\n  b. under indictment.\n  c. embarrassed by his first\n       name (Olivia).\n  d. no one to fool with.	O. J. Simpson is\n\n  a. an R & B singer.\n  b. under indictment.\n  c. embarrassed by his first\n       name (Olivia).\n  d. no one to fool with.
Angela Davis is\n\n  a. the middle Pointer\n       Sister.\n  b. a failed politician.\n  c. an example of split ends\n       gone wild.\n  d. Bette's daughter.	Angela Davis is\n\n  a. the middle Pointer\n       Sister.\n  b. a failed politician.\n  c. an example of split ends\n       gone wild.\n  d. Bette's daughter.
Detente is\n\n  a. prohibited by law in\n       41 states.\n  b. a feminine hygiene\n       spray.\n  c. the masculine form of\n       "deteuse."\n  d. a policy to replace war.	Detente is\n\n  a. prohibited by law in\n       41 states.\n  b. a feminine hygiene\n       spray.\n  c. the masculine form of\n       "deteuse."\n  d. a policy to replace war.
Kwi-Chang-Caine became famous by saying\n\n  a. "I am not a crook."\n  b. "The barren fig tree\n        bears no plums."\n  c. "Hi, sailor.\n        New in town?"\n  d. "Aaaaaiiiyeeeaagggh!"	Kwi-Chang-Caine became famous by saying\n\n  a. "I am not a crook."\n  b. "The barren fig tree\n        bears no plums."\n  c. "Hi, sailor.\n        New in town?"\n  d. "Aaaaaiiiyeeeaagggh!"
Ted Kennedy is best remem- bered for his\n\n  a. driving.\n  b. underwater free-style.\n  c. brothers.\n  d. All of the above.	Ted Kennedy is best remem- bered for his\n\n  a. driving.\n  b. underwater free-style.\n  c. brothers.\n  d. All of the above.
"NORML" is\n\n  a. not gay.\n  b. what Falwell wants you\n       to be.\n  c. trying to legalize\n       marijuana.\n  d. misspelled.	"NORML" is\n\n  a. not gay.\n  b. what Falwell wants you\n       to be.\n  c. trying to legalize\n       marijuana.\n  d. misspelled.
Tom Hayden is\n\n  a. one of the Chicago\n       Seven.\n  b. a U. S. Congressman.\n  c. Mr. Jane Fonda.\n  d. All of the above.	Tom Hayden is\n\n  a. one of the Chicago\n       Seven.\n  b. a U. S. Congressman.\n  c. Mr. Jane Fonda.\n  d. All of the above.
Spiro Agnew is\n\n  a. a form of social\n       disease.\n  b. a jazz-fusion rock band.\n  c. a former Vice President.\n  d. the first woman in\n       Congress.	Spiro Agnew is\n\n  a. a form of social\n       disease.\n  b. a jazz-fusion rock band.\n  c. a former Vice President.\n  d. the first woman in\n       Congress.
The germ that transmits syphilis is\n\n  a. Spiro Agnew.\n  b. Spirochete.\n  c. Spirograph.\n  d. Barbarella.	The germ that transmits syphilis is\n\n  a. Spiro Agnew.\n  b. Spirochete.\n  c. Spirograph.\n  d. Barbarella.
Kookie's address was\n\n  a. 77 Sunset Strip.\n  b. on Wistful Vista Street.\n  c. 334 Elm Street.\n  d. 1313 Mockingbird Lane.	Kookie's address was\n\n  a. 77 Sunset Strip.\n  b. on Wistful Vista Street.\n  c. 334 Elm Street.\n  d. 1313 Mockingbird Lane.
"Who knows what evil lurks in the hearts of men?"\n\n  a. The Psychiatrist\n  b. The Shadow\n  c. The Creeper\n  d. Ingmar Bergman	"Who knows what evil lurks in the hearts of men?"\n\n  a. The Psychiatrist\n  b. The Shadow\n  c. The Creeper\n  d. Ingmar Bergman
Al Lowe is:\n\n  a. under 25.\n  b. pregnant.\n  c. never "carded."\n  d. a Woody Allen\n       impersonator.	Al Lowe is:\n\n  a. under 25.\n  b. pregnant.\n  c. never "carded."\n  d. a Woody Allen\n       impersonator.
Frank Sinatra is a\n\n  a. female impersonator.\n  b. shy pacifist.\n  c. saloon singer.\n  d. distance runner.	Frank Sinatra is a\n\n  a. female impersonator.\n  b. shy pacifist.\n  c. saloon singer.\n  d. distance runner.
Ralph Boysen invented\n\n  a. the boysenberry.\n  b. fins on 50's cars.\n  c. bell bottomed jeans.\n  d. the juke box.	Ralph Boysen invented\n\n  a. the boysenberry.\n  b. fins on 50's cars.\n  c. bell bottomed jeans.\n  d. the juke box.
The first man on the moon was\n\n  a. John Glenn.\n  b. Neil Diamond.\n  c. Neil Armstrong.\n  d. Jack Armstrong.	The first man on the moon was\n\n  a. John Glenn.\n  b. Neil Diamond.\n  c. Neil Armstrong.\n  d. Jack Armstrong.
"Gone With The Wind" is about\n\n  a. outer space.\n  b. a bank robbery.\n  c. four hours long.\n  d. dust.	"Gone With The Wind" is about\n\n  a. outer space.\n  b. a bank robbery.\n  c. four hours long.\n  d. dust.
Who is not a sportscaster?\n\n  a. Jayne Kennedy\n  b. Howard Cosell\n  c. Jayne Mansfield\n  d. Frank Gifford	Who is not a sportscaster?\n\n  a. Jayne Kennedy\n  b. Howard Cosell\n  c. Jayne Mansfield\n  d. Frank Gifford
Which is not a wine?\n\n  a. Colombard\n  b. Bon Aire\n  c. Cabernet\n  d. Muscatel	Which is not a wine?\n\n  a. Colombard\n  b. Bon Aire\n  c. Cabernet\n  d. Muscatel
Which is not a mountain range?\n\n  a. Cayman\n  b. Appalachian\n  c. Rockies\n  d. Himalayas	Which is not a mountain range?\n\n  a. Cayman\n  b. Appalachian\n  c. Rockies\n  d. Himalayas
In the movie, "Paint Your Wagon," Clint Eastwood sang\n\n  a. "I Talk to the Trees"\n  b. "Go Ahead, Make My\n       Wagon"\n  c. "I If Had A Mayor"\n  d. None of the above.	In the movie, "Paint Your Wagon," Clint Eastwood sang\n\n  a. "I Talk to the Trees"\n  b. "Go Ahead, Make My\n       Wagon"\n  c. "I If Had A Mayor"\n  d. None of the above.
The drink "Screwdriver" contains\n\n  a. tomato juice.\n  b. orange juice.\n  c. grapefruit juice.\n  d. borax.	The drink "Screwdriver" contains\n\n  a. tomato juice.\n  b. orange juice.\n  c. grapefruit juice.\n  d. borax.
Ronald Reagan's co-star in "Bedtime for Bonzo" was\n\n  a. a monkey.\n  b. Peter O'Toole.\n  c. Bonzo the Clown.\n  d. Marilyn Monroe.	Ronald Reagan's co-star in "Bedtime for Bonzo" was\n\n  a. a monkey.\n  b. Peter O'Toole.\n  c. Bonzo the Clown.\n  d. Marilyn Monroe.
The slogan "It takes two hands to handle a whopper" refers to\n\n  a. John Holmes.\n  b. a hamburger.\n  c. overstuffed grocery\n       bags.\n  d. fishing.	The slogan "It takes two hands to handle a whopper" refers to\n\n  a. John Holmes.\n  b. a hamburger.\n  c. overstuffed grocery\n       bags.\n  d. fishing.
If you arrived at a party wearing your birthday suit, you would\n\n  a. make many new friends.\n  b. be thrown out.\n  c. fit right in.\n  d. It depends on the party.	If you arrived at a party wearing your birthday suit, you would\n\n  a. make many new friends.\n  b. be thrown out.\n  c. fit right in.\n  d. It depends on the party.
Cesar Chavez led a boycott of\n\n  a. grapes.\n  b. X-rated movies.\n  c. dirty magazines.\n  d. goods from South Africa.	Cesar Chavez led a boycott of\n\n  a. grapes.\n  b. X-rated movies.\n  c. dirty magazines.\n  d. goods from South Africa.
James Brown is often referred to as\n\n  a. the Chairman of the\n       Board.\n  b. a great athlete.\n  c. the Velvet Fog.\n  d. the Godfather of Soul.	James Brown is often referred to as\n\n  a. the Chairman of the\n       Board.\n  b. a great athlete.\n  c. the Velvet Fog.\n  d. the Godfather of Soul.
Who lost a daughter but gained a "meathead?"\n\n  a. George Jefferson\n  b. Ronald Reagan\n  c. Archie Bunker\n  d. Ted Knight	Who lost a daughter but gained a "meathead?"\n\n  a. George Jefferson\n  b. Ronald Reagan\n  c. Archie Bunker\n  d. Ted Knight
Which U. S. Secretary of State was born in Germany?\n\n  a. Dean Rusk\n  b. William Rogers\n  c. George Schultz\n  d. Henry Kissinger	Which U. S. Secretary of State was born in Germany?\n\n  a. Dean Rusk\n  b. William Rogers\n  c. George Schultz\n  d. Henry Kissinger
Who was the inventive genius behind the Apple computer?\n\n  a. Bill Gates\n  b. Steve Wozniak\n  c. Ken Williams\n  d. Steve Russell	Who was the inventive genius behind the Apple computer?\n\n  a. Bill Gates\n  b. Steve Wozniak\n  c. Ken Williams\n  d. Steve Russell
Dynamic logic = 2.	Dynamic logic = 2.
a	a
b	b
c	c
d	d
So far, so good.\n\nNow for the final question.	So far, so good.\n\nNow for the final question.
Question #%v96. Correct answer is %v93.	Question #%v96. Correct answer is %v93.
Please answer a, b, c, or d: 	Please answer a, b, c, or d: 
"Close Encounters of the Third Kind" is about\n\n  a. politics in third-world\n       countries.\n  b. homo- and heterosexual\n       sex.\n  c. creatures from outer\n       space.\n  d. a bicycle race across\n       Alaska.	"Close Encounters of the Third Kind" is about\n\n  a. politics in third-world\n       countries.\n  b. homo- and heterosexual\n       sex.\n  c. creatures from outer\n       space.\n  d. a bicycle race across\n       Alaska.
IBM stands for\n\n  a. Ittsy Bittsy Men.\n  b. International Business\n       Machines.\n  c. Italian Branch of the\n       Mafia.\n  d. Iranian Broom Makers.	IBM stands for\n\n  a. Ittsy Bittsy Men.\n  b. International Business\n       Machines.\n  c. Italian Branch of the\n       Mafia.\n  d. Iranian Broom Makers.
Who was NOT in the movie "Easy Rider?"\n\n  a. Peter Fonda\n  b. Dennis Hopper\n  c. Karen Black\n  d. Karen Carpenter	Who was NOT in the movie "Easy Rider?"\n\n  a. Peter Fonda\n  b. Dennis Hopper\n  c. Karen Black\n  d. Karen Carpenter
Las Vegas is famous for\n\n  a. its beaches.\n  b. being the capital of\n       Arizona.\n  c. gambling.\n  d. its weather.	Las Vegas is famous for\n\n  a. its beaches.\n  b. being the capital of\n       Arizona.\n  c. gambling.\n  d. its weather.
The term "Working Girl" refers to\n\n  a. a secretary.\n  b. a lady of negotiable\n       virtue.\n  c. an industrious woman.\n  d. an employed female.	The term "Working Girl" refers to\n\n  a. a secretary.\n  b. a lady of negotiable\n       virtue.\n  c. an industrious woman.\n  d. an employed female.
Making a "Hole in One" is\n\n  a. every golfer's dream.\n  b. too dirty to discuss\n       here.\n  c. something carpenters do.\n  d. best done with scissors.	Making a "Hole in One" is\n\n  a. every golfer's dream.\n  b. too dirty to discuss\n       here.\n  c. something carpenters do.\n  d. best done with scissors.
My boss is\n\n  a. a jerk.\n  b. a total jerk.\n  c. an absolute total jerk.\n  d. responsible for my\n       paycheck.	My boss is\n\n  a. a jerk.\n  b. a total jerk.\n  c. an absolute total jerk.\n  d. responsible for my\n       paycheck.
How many programmers does it take to screw in a light bulb?\n\n  a. None, it's a hardware\n       problem.\n  b. None, programmers can't\n       fit in light bulbs.\n  c. 100. One to hold the\n       bulb and 99 to\n       debug the house.\n  d. None so far, but they'll\n       get to it\n       Real Soon Now.	How many programmers does it take to screw in a light bulb?\n\n  a. None, it's a hardware\n       problem.\n  b. None, programmers can't\n       fit in light bulbs.\n  c. 100. One to hold the\n       bulb and 99 to\n       debug the house.\n  d. None so far, but they'll\n       get to it\n       Real Soon Now.
A hard disk is\n\n  a. better than a floppy.\n  b. embarrassing to have at\n       the office.\n  c. a state-of-the-art\n       frisbee.\n  d. what happens when you\n       leave your floppy out\n       in the sun too long.	A hard disk is\n\n  a. better than a floppy.\n  b. embarrassing to have at\n       the office.\n  c. a state-of-the-art\n       frisbee.\n  d. what happens when you\n       leave your floppy out\n       in the sun too long.
In some personal ads, TV stands for\n\n  a. television.\n  b. transvestite.\n  c. trans-venereal.\n  d. terre-voracic.	In some personal ads, TV stands for\n\n  a. television.\n  b. transvestite.\n  c. trans-venereal.\n  d. terre-voracic.
Lucy, Ricky, Fred and\n\n  a. Barney.\n  b. Carol.\n  c. Alice.\n  d. Ethel.	Lucy, Ricky, Fred and\n\n  a. Barney.\n  b. Carol.\n  c. Alice.\n  d. Ethel.
Mel Brooks is\n\n  a. black.\n  b. Puerto Rican.\n  c. a comedian.\n  d. Catholic.	Mel Brooks is\n\n  a. black.\n  b. Puerto Rican.\n  c. a comedian.\n  d. Catholic.
It is customary to tip about\n\n  a.  2 per cent.\n  b.  6 per cent.\n  c. 15 per cent.\n  d. 25 per cent.	It is customary to tip about\n\n  a.  2 per cent.\n  b.  6 per cent.\n  c. 15 per cent.\n  d. 25 per cent.
Blackjack is\n\n  a. an ace and a face card.\n  b. used by policemen.\n  c. related to Caucasian\n       Tom.\n  d. a kind of car sold only\n       in Fresno.	Blackjack is\n\n  a. an ace and a face card.\n  b. used by policemen.\n  c. related to Caucasian\n       Tom.\n  d. a kind of car sold only\n       in Fresno.
Canada is\n\n  a. where Canadians live.\n  b. north of the U. S.\n  c. adjacent to the U. S.\n  d. All of the above.	Canada is\n\n  a. where Canadians live.\n  b. north of the U. S.\n  c. adjacent to the U. S.\n  d. All of the above.
Oral Roberts is\n\n  a. a thermometer technique.\n  b. an evangelist.\n  c. best done with a friend.\n  d. shy.	Oral Roberts is\n\n  a. a thermometer technique.\n  b. an evangelist.\n  c. best done with a friend.\n  d. shy.
