%m10%w1?	%m10%w1?
%m10%w2?	%m10%w2?
%m10%w3?	%m10%w3?
%m10%w4?	%m10%w4?
%m10%w5?	%m10%w5?
%m10%w6?	%m10%w6?
%m10%w7?	%m10%w7?
%m10%w8?	%m10%w8?
You already have it.	你已經有了。
Ok.	好。
That comes later.	那以後再說。
Sierra 	Sierra
About Larry	關於 Larry
Help   <F1>	說明   <F1>
-----------	-----------
Calculator 	計算機
Puzzle     	拼圖
File 	檔案
Save     <F5>	存檔     <F5>
Restore  <F7>	讀檔  <F7>
-------------	-------------
Restart  <F9>	重新開始  <F9>
Quit  <Alt-Z>	結束  <Alt-Z>
Action 	動作
Inventory  <Tab>	物品  <Tab>
See Object      	查看物體
Bodily Function 	生理機能
Special 	特殊
Sound On/Off      <F2>	音效開/關      <F2>
Graphics Mode <Ctrl-R>	圖形模式 <Ctrl-R>
Joystick      <Ctrl-J>	搖桿      <Ctrl-J>
Clock On/Off          	時鐘開/關
Pause Game            	暫停遊戲
Speed 	速度
Normal       	正常
Slow         	緩慢
Fast         	快速
Fastest      	最快
Change  <F10>	更改  <F10>
Boss Key      <Ctrl-B>	老闆鍵      <Ctrl-B>
\n\nYou've been playing for\n	\n\n你已經玩了\n
Psssft. Psssft.	嘶…嘶…
Ahhh.	啊。
Yep, it's a door!	沒錯，這就是一扇門！
Watch it, Larry. You're going to get your face slapped!	小心點，Larry。妳再來會被甩巴掌！
Now?!	現在？！
Ok.\n\nYour thirst is gone, the bottle is empty, and your breath is revolting.	好。\n\n你不渴了，瓶子空了，你的口氣臭死人。
"Hey, dork! You've got toilet paper stuck to your shoe!"	「嘿，呆瓜！你鞋上貼著衛生紙！」
"Phew! You smell like a used fire hydrant!"	「呸！你聞起來像用過的消防栓！」
Just a moment, please...	請稍候…
2	2
+ 2	+ 2
---	---
  4	  4
   This is about the extent of\n    your mathematical abilities.	   這大概就是你的\n    數學能力的極限了。
---------------------	---------------------
|  1 |  2 |  3 |  4 |	|  1 |  2 |  3 |  4 |
|  5 |  6 |  7 |  8 |	|  5 |  6 |  7 |  8 |
|  9 | 10 | 11 | 12 |	|  9 | 10 | 11 | 12 |
| 13 | 14 | 15 | 16 |	| 13 | 14 | 15 | 16 |
|----|----|----|----|	|----|----|----|----|
How's this thing work, anyway?	這東西到底怎麼用？
Enter function: 	輸入功能：
You quickly turn around, %s11, and feel much better. A hint of a smile crosses your lips.	你快速轉身，%s11，感覺好多了。嘴角浮起一絲笑容。
Larry, the whole idea was to stop doing that!	Larry，整個想法就是要你停止那樣做！
do nothing	什麼都不做
You talk to yourself, and find you already know what you're going to say.	你跟自己說話，發現你早就知道自己要說什麼。
Good idea. You carefully remove and dispose of it properly.	好主意。你小心地把它移除並妥善處理。
You nonchalantly scrape it off.	你若無其事地把它刮掉。
Oh, no! You are now penniless. You hock your leisure suit, and spend the rest of your life on skid row eating discarded fast food.	糟糕！你現在身無分文了。你把豔裝套裝當了，在貧民窟裡靠吃剩飯度過餘生。
The rest of your story is too sad to tell. Time for a little "R & R," Larry -- Restart or Restore!	你的故事太悲慘了，說不出來。現在該放鬆放鬆了，Larry——重新開始或讀檔！
It smells as bad as you imagined.	聞起來跟你想的一樣臭。
It's not for using; IT'S A JOKE!!	不是用的；這是笑話！！
Same to you, buddy!	彼此彼此，老兄！
And %w1 %w2 you, too!	還有 %w1 %w2 你，也是！
Yeah, you probably would, too!	是啊，你可能也會這樣做！
