Tsk, tsk.	Tsk, tsk.
Richard Nixon was the _____ President of the United States.\n\n  a. last\n  b. funniest\n  c. thirty-seventh\n  d. first Negro	Richard Nixon was the _____ President of the United States.\n\n  a. last\n  b. funniest\n  c. thirty-seventh\n  d. first Negro
During the 70's, Carroll O'Connor portrayed a\n\n  a. kindly doctor.\n  b. lovable bigot.\n  c. handicapped lawyer.\n  d. Negro junk dealer.	During the 70's, Carroll O'Connor portrayed a\n\n  a. kindly doctor.\n  b. lovable bigot.\n  c. handicapped lawyer.\n  d. Negro junk dealer.
The song "American Pie" was about\n\n  a. miscegenation.\n  b. Marilyn Chambers.\n  c. a dead rock star.\n  d. four minutes too long.	The song "American Pie" was about\n\n  a. miscegenation.\n  b. Marilyn Chambers.\n  c. a dead rock star.\n  d. four minutes too long.
Thomas Eagleton was dropped from the 1972 Democratic National Ticket when knowledge of his previous _____ treatments became known.\n\n  a. skin\n  b. screen\n  c. shock\n  d. scalp	Thomas Eagleton was dropped from the 1972 Democratic National Ticket when knowledge of his previous _____ treatments became known.\n\n  a. skin\n  b. screen\n  c. shock\n  d. scalp
The 70's practice of running around naked was called\n\n  a. flashing.\n  b. streaking.\n  c. swinging.\n  d. on account of rain.	The 70's practice of running around naked was called\n\n  a. flashing.\n  b. streaking.\n  c. swinging.\n  d. on account of rain.
Peter Benchley's novel "Jaws" was about\n\n  a. Linda Lovelace.\n  b. dieting.\n  c. Joan Rivers.\n  d. sharks.	Peter Benchley's novel "Jaws" was about\n\n  a. Linda Lovelace.\n  b. dieting.\n  c. Joan Rivers.\n  d. sharks.
Who was not Vice-President of the United States in 1973-74?\n\n  a. Gerald Ford\n  b. Nelson Rockefeller\n  c. Thomas Hayden\n  d. Spiro Agnew	Who was not Vice-President of the United States in 1973-74?\n\n  a. Gerald Ford\n  b. Nelson Rockefeller\n  c. Thomas Hayden\n  d. Spiro Agnew
The "Chicago Seven" was\n\n  a. some people who only\n       seem crazy in\n       retrospect.\n  b. the Bears' defensive\n       line.\n  c. burned for showing\n       "Country" in three\n       different theatres.\n  d. partially convicted.	The "Chicago Seven" was\n\n  a. some people who only\n       seem crazy in\n       retrospect.\n  b. the Bears' defensive\n       line.\n  c. burned for showing\n       "Country" in three\n       different theatres.\n  d. partially convicted.
President Ford prescribed _____ for dealing with economic problems.\n\n  a. tranquilizers\n  b. employment\n  c. that everyone wear a\n       WIN button\n  d. that everyone should\n       have a nice day	President Ford prescribed _____ for dealing with economic problems.\n\n  a. tranquilizers\n  b. employment\n  c. that everyone wear a\n       WIN button\n  d. that everyone should\n       have a nice day
The tackiest seventies fashion was\n\n  a. platform shoes.\n  b. midi-skirts.\n  c. short hair.\n  d. bisexuality.	The tackiest seventies fashion was\n\n  a. platform shoes.\n  b. midi-skirts.\n  c. short hair.\n  d. bisexuality.
O. J. Simpson is\n\n  a. an R & B singer.\n  b. under indictment.\n  c. embarrassed by his first\n       name (Olivia).\n  d. no one to fool with.	O. J. Simpson is\n\n  a. an R & B singer.\n  b. under indictment.\n  c. embarrassed by his first\n       name (Olivia).\n  d. no one to fool with.
Angela Davis is\n\n  a. the middle Pointer\n       Sister.\n  b. a failed politician.\n  c. an example of split ends\n       gone wild.\n  d. Bette's daughter.	Angela Davis is\n\n  a. the middle Pointer\n       Sister.\n  b. a failed politician.\n  c. an example of split ends\n       gone wild.\n  d. Bette's daughter.
Detente is\n\n  a. prohibited by law in\n       41 states.\n  b. a feminine hygiene\n       spray.\n  c. the masculine form of\n       "deteuse."\n  d. a policy to replace war.	Detente is\n\n  a. prohibited by law in\n       41 states.\n  b. a feminine hygiene\n       spray.\n  c. the masculine form of\n       "deteuse."\n  d. a policy to replace war.
Kwi-Chang-Caine became famous by saying\n\n  a. "I am not a crook."\n  b. "The barren fig tree\n        bears no plums."\n  c. "Hi, sailor.\n        New in town?"\n  d. "Aaaaaiiiyeeeaagggh!"	Kwi-Chang-Caine became famous by saying\n\n  a. "I am not a crook."\n  b. "The barren fig tree\n        bears no plums."\n  c. "Hi, sailor.\n        New in town?"\n  d. "Aaaaaiiiyeeeaagggh!"
Ted Kennedy is best remem- bered for his\n\n  a. driving.\n  b. underwater free-style.\n  c. brothers.\n  d. All of the above.	Ted Kennedy is best remem- bered for his\n\n  a. driving.\n  b. underwater free-style.\n  c. brothers.\n  d. All of the above.
"NORML" is\n\n  a. not gay.\n  b. what Falwell wants you\n       to be.\n  c. trying to legalize\n       marijuana.\n  d. misspelled.	"NORML" is\n\n  a. not gay.\n  b. what Falwell wants you\n       to be.\n  c. trying to legalize\n       marijuana.\n  d. misspelled.
Tom Hayden is\n\n  a. one of the Chicago\n       Seven.\n  b. a U. S. Congressman.\n  c. Mr. Jane Fonda.\n  d. All of the above.	Tom Hayden is\n\n  a. one of the Chicago\n       Seven.\n  b. a U. S. Congressman.\n  c. Mr. Jane Fonda.\n  d. All of the above.
Spiro Agnew is\n\n  a. a form of social\n       disease.\n  b. a jazz-fusion rock band.\n  c. a former Vice President.\n  d. the first woman in\n       Congress.	Spiro Agnew is\n\n  a. a form of social\n       disease.\n  b. a jazz-fusion rock band.\n  c. a former Vice President.\n  d. the first woman in\n       Congress.
The germ that transmits syphilis is\n\n  a. Spiro Agnew.\n  b. Spirochete.\n  c. Spirograph.\n  d. Barbarella.	The germ that transmits syphilis is\n\n  a. Spiro Agnew.\n  b. Spirochete.\n  c. Spirograph.\n  d. Barbarella.
Kookie's address was\n\n  a. 77 Sunset Strip.\n  b. on Wistful Vista Street.\n  c. 334 Elm Street.\n  d. 1313 Mockingbird Lane.	Kookie's address was\n\n  a. 77 Sunset Strip.\n  b. on Wistful Vista Street.\n  c. 334 Elm Street.\n  d. 1313 Mockingbird Lane.
"Who knows what evil lurks in the hearts of men?"\n\n  a. The Psychiatrist\n  b. The Shadow\n  c. The Creeper\n  d. Ingmar Bergman	"Who knows what evil lurks in the hearts of men?"\n\n  a. The Psychiatrist\n  b. The Shadow\n  c. The Creeper\n  d. Ingmar Bergman
Al Lowe is:\n\n  a. under 25.\n  b. pregnant.\n  c. never "carded."\n  d. a Woody Allen\n       impersonator.	Al Lowe is:\n\n  a. under 25.\n  b. pregnant.\n  c. never "carded."\n  d. a Woody Allen\n       impersonator.
Frank Sinatra is a\n\n  a. female impersonator.\n  b. shy pacifist.\n  c. saloon singer.\n  d. distance runner.	Frank Sinatra is a\n\n  a. female impersonator.\n  b. shy pacifist.\n  c. saloon singer.\n  d. distance runner.
Ralph Boysen invented\n\n  a. the boysenberry.\n  b. fins on 50's cars.\n  c. bell bottomed jeans.\n  d. the juke box.	Ralph Boysen invented\n\n  a. the boysenberry.\n  b. fins on 50's cars.\n  c. bell bottomed jeans.\n  d. the juke box.
The first man on the moon was\n\n  a. John Glenn.\n  b. Neil Diamond.\n  c. Neil Armstrong.\n  d. Jack Armstrong.	The first man on the moon was\n\n  a. John Glenn.\n  b. Neil Diamond.\n  c. Neil Armstrong.\n  d. Jack Armstrong.
"Gone With The Wind" is about\n\n  a. outer space.\n  b. a bank robbery.\n  c. four hours long.\n  d. dust.	"Gone With The Wind" is about\n\n  a. outer space.\n  b. a bank robbery.\n  c. four hours long.\n  d. dust.
Who is not a sportscaster?\n\n  a. Jayne Kennedy\n  b. Howard Cosell\n  c. Jayne Mansfield\n  d. Frank Gifford	Who is not a sportscaster?\n\n  a. Jayne Kennedy\n  b. Howard Cosell\n  c. Jayne Mansfield\n  d. Frank Gifford
Which is not a wine?\n\n  a. Colombard\n  b. Bon Aire\n  c. Cabernet\n  d. Muscatel	Which is not a wine?\n\n  a. Colombard\n  b. Bon Aire\n  c. Cabernet\n  d. Muscatel
Which is not a mountain range?\n\n  a. Cayman\n  b. Appalachian\n  c. Rockies\n  d. Himalayas	Which is not a mountain range?\n\n  a. Cayman\n  b. Appalachian\n  c. Rockies\n  d. Himalayas
In the movie, "Paint Your Wagon," Clint Eastwood sang\n\n  a. "I Talk to the Trees"\n  b. "Go Ahead, Make My\n       Wagon"\n  c. "I If Had A Mayor"\n  d. None of the above.	In the movie, "Paint Your Wagon," Clint Eastwood sang\n\n  a. "I Talk to the Trees"\n  b. "Go Ahead, Make My\n       Wagon"\n  c. "I If Had A Mayor"\n  d. None of the above.
The drink "Screwdriver" contains\n\n  a. tomato juice.\n  b. orange juice.\n  c. grapefruit juice.\n  d. borax.	The drink "Screwdriver" contains\n\n  a. tomato juice.\n  b. orange juice.\n  c. grapefruit juice.\n  d. borax.
Ronald Reagan's co-star in "Bedtime for Bonzo" was\n\n  a. a monkey.\n  b. Peter O'Toole.\n  c. Bonzo the Clown.\n  d. Marilyn Monroe.	Ronald Reagan's co-star in "Bedtime for Bonzo" was\n\n  a. a monkey.\n  b. Peter O'Toole.\n  c. Bonzo the Clown.\n  d. Marilyn Monroe.
The slogan "It takes two hands to handle a whopper" refers to\n\n  a. John Holmes.\n  b. a hamburger.\n  c. overstuffed grocery\n       bags.\n  d. fishing.	The slogan "It takes two hands to handle a whopper" refers to\n\n  a. John Holmes.\n  b. a hamburger.\n  c. overstuffed grocery\n       bags.\n  d. fishing.
If you arrived at a party wearing your birthday suit, you would\n\n  a. make many new friends.\n  b. be thrown out.\n  c. fit right in.\n  d. It depends on the party.	If you arrived at a party wearing your birthday suit, you would\n\n  a. make many new friends.\n  b. be thrown out.\n  c. fit right in.\n  d. It depends on the party.
Cesar Chavez led a boycott of\n\n  a. grapes.\n  b. X-rated movies.\n  c. dirty magazines.\n  d. goods from South Africa.	Cesar Chavez led a boycott of\n\n  a. grapes.\n  b. X-rated movies.\n  c. dirty magazines.\n  d. goods from South Africa.
James Brown is often referred to as\n\n  a. the Chairman of the\n       Board.\n  b. a great athlete.\n  c. the Velvet Fog.\n  d. the Godfather of Soul.	James Brown is often referred to as\n\n  a. the Chairman of the\n       Board.\n  b. a great athlete.\n  c. the Velvet Fog.\n  d. the Godfather of Soul.
Who lost a daughter but gained a "meathead?"\n\n  a. George Jefferson\n  b. Ronald Reagan\n  c. Archie Bunker\n  d. Ted Knight	Who lost a daughter but gained a "meathead?"\n\n  a. George Jefferson\n  b. Ronald Reagan\n  c. Archie Bunker\n  d. Ted Knight
Which U. S. Secretary of State was born in Germany?\n\n  a. Dean Rusk\n  b. William Rogers\n  c. George Schultz\n  d. Henry Kissinger	Which U. S. Secretary of State was born in Germany?\n\n  a. Dean Rusk\n  b. William Rogers\n  c. George Schultz\n  d. Henry Kissinger
Who was the inventive genius behind the Apple computer?\n\n  a. Bill Gates\n  b. Steve Wozniak\n  c. Ken Williams\n  d. Steve Russell	Who was the inventive genius behind the Apple computer?\n\n  a. Bill Gates\n  b. Steve Wozniak\n  c. Ken Williams\n  d. Steve Russell
Dynamic logic = 2.	Dynamic logic = 2.
a	a
b	b
c	c
d	d
So far, so good.\n\nNow for the final question.	So far, so good.\n\nNow for the final question.
Question #%v96. Correct answer is %v93.	Question #%v96. Correct answer is %v93.
Please answer a, b, c, or d: 	Please answer a, b, c, or d: 
"Close Encounters of the Third Kind" is about\n\n  a. politics in third-world\n       countries.\n  b. homo- and heterosexual\n       sex.\n  c. creatures from outer\n       space.\n  d. a bicycle race across\n       Alaska.	"Close Encounters of the Third Kind" is about\n\n  a. politics in third-world\n       countries.\n  b. homo- and heterosexual\n       sex.\n  c. creatures from outer\n       space.\n  d. a bicycle race across\n       Alaska.
IBM stands for\n\n  a. Ittsy Bittsy Men.\n  b. International Business\n       Machines.\n  c. Italian Branch of the\n       Mafia.\n  d. Iranian Broom Makers.	IBM stands for\n\n  a. Ittsy Bittsy Men.\n  b. International Business\n       Machines.\n  c. Italian Branch of the\n       Mafia.\n  d. Iranian Broom Makers.
Who was NOT in the movie "Easy Rider?"\n\n  a. Peter Fonda\n  b. Dennis Hopper\n  c. Karen Black\n  d. Karen Carpenter	Who was NOT in the movie "Easy Rider?"\n\n  a. Peter Fonda\n  b. Dennis Hopper\n  c. Karen Black\n  d. Karen Carpenter
Las Vegas is famous for\n\n  a. its beaches.\n  b. being the capital of\n       Arizona.\n  c. gambling.\n  d. its weather.	Las Vegas is famous for\n\n  a. its beaches.\n  b. being the capital of\n       Arizona.\n  c. gambling.\n  d. its weather.
The term "Working Girl" refers to\n\n  a. a secretary.\n  b. a lady of negotiable\n       virtue.\n  c. an industrious woman.\n  d. an employed female.	The term "Working Girl" refers to\n\n  a. a secretary.\n  b. a lady of negotiable\n       virtue.\n  c. an industrious woman.\n  d. an employed female.
Making a "Hole in One" is\n\n  a. every golfer's dream.\n  b. too dirty to discuss\n       here.\n  c. something carpenters do.\n  d. best done with scissors.	Making a "Hole in One" is\n\n  a. every golfer's dream.\n  b. too dirty to discuss\n       here.\n  c. something carpenters do.\n  d. best done with scissors.
My boss is\n\n  a. a jerk.\n  b. a total jerk.\n  c. an absolute total jerk.\n  d. responsible for my\n       paycheck.	My boss is\n\n  a. a jerk.\n  b. a total jerk.\n  c. an absolute total jerk.\n  d. responsible for my\n       paycheck.
How many programmers does it take to screw in a light bulb?\n\n  a. None, it's a hardware\n       problem.\n  b. None, programmers can't\n       fit in light bulbs.\n  c. 100. One to hold the\n       bulb and 99 to\n       debug the house.\n  d. None so far, but they'll\n       get to it\n       Real Soon Now.	How many programmers does it take to screw in a light bulb?\n\n  a. None, it's a hardware\n       problem.\n  b. None, programmers can't\n       fit in light bulbs.\n  c. 100. One to hold the\n       bulb and 99 to\n       debug the house.\n  d. None so far, but they'll\n       get to it\n       Real Soon Now.
