Tsk, tsk.	啧啧。
All politicians are\n\n  a. hardworking.\n  b. honest.\n  c. ethical.\n  d. on the public payroll.	所有政客都是\n\n  a. 勤快。\n  b. 誠實。\n  c. 有道德。\n  d. 領公家薪水。
Lingerie is\n\n  a. sexy.\n  b. a kind of car.\n  c. a French food.\n  d. edible.	內衣是\n\n  a. 性感。\n  b. 一種車。\n  c. 法國食物。\n  d. 可以吃。
Paul, John, Ringo and\n\n  a. Fred.\n  b. George.\n  c. Harry.\n  d. me.	Paul、John、Ringo 和\n\n  a. Fred。\n  b. George。\n  c. Harry。\n  d. 我。
Do girls really have cooties?\n\n  a. Yes.\n  b. No.\n  c. Some do, some don't.\n  d. Maybe.	女生真的有病菌嗎？\n\n  a. 有。\n  b. 沒有。\n  c. 有些有，有些沒。\n  d. 也許。
Which song was not recorded by Elvis?\n\n  a. "Hound Dog"\n  b. "Love Me Tender"\n  c. "What'd I Say"\n  d. "Heartbreak Hotel"	哪首歌不是 Elvis 錄的？\n\n  a. "Hound Dog"\n  b. "Love Me Tender"\n  c. "What'd I Say"\n  d. "Heartbreak Hotel"
Edsel is a\n\n  a. girl's name.\n  b. plane.\n  c. car.\n  d. great investment.	Edsel 是\n\n  a. 女孩的名字。\n  b. 飛機。\n  c. 汽車。\n  d. 很棒的投資。
Sex is\n\n  a. great.\n  b. ok.\n  c. a spectator sport.\n  d. a mystery to me.	性愛是\n\n  a. 棒得要命。\n  b. 還行。\n  c. 觀賞運動。\n  d. 對我來說是謎。
Richard Nixon was the _____ President of the United States.\n\n  a. last\n  b. funniest\n  c. thirty-seventh\n  d. first Negro	Richard Nixon 是美國的\n_____ 總統。\n\n  a. 最後一位\n  b. 最搞笑\n  c. 第 37 位\n  d. 第一位黑人
During the 70's, Carroll O'Connor portrayed a\n\n  a. kindly doctor.\n  b. lovable bigot.\n  c. handicapped lawyer.\n  d. Negro junk dealer.	70 年代，Carroll O'Connor\n飾演\n\n  a. 親切醫生。\n  b. 可愛的偏執狂。\n  c. 身障律師。\n  d. 黑人收破爛商人。
The song "American Pie" was about\n\n  a. miscegenation.\n  b. Marilyn Chambers.\n  c. a dead rock star.\n  d. four minutes too long.	"American Pie" 這首歌\n關於\n\n  a. 種族混雜。\n  b. Marilyn Chambers。\n  c. 死掉的搖滾明星。\n  d. 長了四分鐘。
Thomas Eagleton was dropped from the 1972 Democratic National Ticket when knowledge of his previous _____ treatments became known.\n\n  a. skin\n  b. screen\n  c. shock\n  d. scalp	Thomas Eagleton 因為他\n過去的 _____ 治療被揭露\n而被 1972 民主黨提名\n除名。\n\n  a. 皮膚\n  b. 銀幕\n  c. 電擊\n  d. 頭皮
The 70's practice of running around naked was called\n\n  a. flashing.\n  b. streaking.\n  c. swinging.\n  d. on account of rain.	70 年代光著身子跑來跑去\n叫\n\n  a. 露出。\n  b. 狂奔。\n  c. 交換伴侶。\n  d. 下雨。
Peter Benchley's novel "Jaws" was about\n\n  a. Linda Lovelace.\n  b. dieting.\n  c. Joan Rivers.\n  d. sharks.	Peter Benchley 的小說\n"Jaws" 關於\n\n  a. Linda Lovelace。\n  b. 節食。\n  c. Joan Rivers。\n  d. 鯊魚。
Who was not Vice-President of the United States in 1973-74?\n\n  a. Gerald Ford\n  b. Nelson Rockefeller\n  c. Thomas Hayden\n  d. Spiro Agnew	1973-74 年誰不是美國\n副總統？\n\n  a. Gerald Ford\n  b. Nelson Rockefeller\n  c. Thomas Hayden\n  d. Spiro Agnew
The "Chicago Seven" was\n\n  a. some people who only\n       seem crazy in\n       retrospect.\n  b. the Bears' defensive\n       line.\n  c. burned for showing\n       "Country" in three\n       different theatres.\n  d. partially convicted.	"芝加哥七君子" 是\n\n  a. 一些事後看來才瘋狂\n       的人。\n  b. 熊隊防線。\n  c. 因為放映\n       "Country" 被燒。\n  d. 部分定罪。
President Ford prescribed _____ for dealing with economic problems.\n\n  a. tranquilizers\n  b. employment\n  c. that everyone wear a\n       WIN button\n  d. that everyone should\n       have a nice day	福特總統開的處方治療\n經濟問題是 _____。\n\n  a. 鎮定劑\n  b. 就業\n  c. 每個人都戴 WIN 鈕\n  d. 每個人開心度過
The tackiest seventies fashion was\n\n  a. platform shoes.\n  b. midi-skirts.\n  c. short hair.\n  d. bisexuality.	最俗氣的 70 年代時尚是\n\n  a. 厚底鞋。\n  b. 中長裙。\n  c. 短髮。\n  d. 雙性戀。
O. J. Simpson is\n\n  a. an R & B singer.\n  b. under indictment.\n  c. embarrassed by his first\n       name (Olivia).\n  d. no one to fool with.	O. J. Simpson 是\n\n  a. R&B 歌手。\n  b. 被起訴。\n  c. 為他的名字 (Olivia)\n       感到尷尬。\n  d. 不好惹的人。
Angela Davis is\n\n  a. the middle Pointer\n       Sister.\n  b. a failed politician.\n  c. an example of split ends\n       gone wild.\n  d. Bette's daughter.	Angela Davis 是\n\n  a. Pointer 姐妹中間的。\n  b. 失敗政客。\n  c. 分叉毛亂翹的例子。\n  d. Bette 的女兒。
Detente is\n\n  a. prohibited by law in\n       41 states.\n  b. a feminine hygiene\n       spray.\n  c. the masculine form of\n       "deteuse."\n  d. a policy to replace war.	緩和政策是\n\n  a. 在 41 個州被禁止。\n  b. 女性衛生噴霧。\n  c. "deteuse" 的陽性形式。\n  d. 用來取代戰爭的政策。
Kwi-Chang-Caine became famous by saying\n\n  a. "I am not a crook."\n  b. "The barren fig tree\n        bears no plums."\n  c. "Hi, sailor.\n        New in town?"\n  d. "Aaaaaiiiyeeeaagggh!"	Kwi-Chang-Caine 因說\n\n  a. "我不是騙子。"\n  b. "貧瘠的無花果樹\n        結不出李子。"\n  c. "嗨，水手。\n        剛到城裡？"\n  d. "啊啊啊啊啊啊啊啊！"
Ted Kennedy is best remem- bered for his\n\n  a. driving.\n  b. underwater free-style.\n  c. brothers.\n  d. All of the above.	Ted Kennedy 最著名的是\n他的\n\n  a. 開車。\n  b. 水下自由式。\n  c. 兄弟們。\n  d. 以上全對。
"NORML" is\n\n  a. not gay.\n  b. what Falwell wants you\n       to be.\n  c. trying to legalize\n       marijuana.\n  d. misspelled.	"NORML" 是\n\n  a. 不是同志。\n  b. Falwell 要你的樣子。\n  c. 試圖大麻合法化。\n  d. 拼錯。
Tom Hayden is\n\n  a. one of the Chicago\n       Seven.\n  b. a U. S. Congressman.\n  c. Mr. Jane Fonda.\n  d. All of the above.	Tom Hayden 是\n\n  a. 芝加哥七君子之一。\n  b. 美國眾議院議員。\n  c. Jane Fonda 的老公。\n  d. 以上全對。
Spiro Agnew is\n\n  a. a form of social\n       disease.\n  b. a jazz-fusion rock band.\n  c. a former Vice President.\n  d. the first woman in\n       Congress.	Spiro Agnew 是\n\n  a. 一種社會病。\n  b. 爵士搖滾樂團。\n  c. 前副總統。\n  d. 國會第一位女性。
The germ that transmits syphilis is\n\n  a. Spiro Agnew.\n  b. Spirochete.\n  c. Spirograph.\n  d. Barbarella.	傳播梅毒的細菌是\n\n  a. Spiro Agnew。\n  b. 螺旋體。\n  c. Spirograph。\n  d. Barbarella。
Kookie's address was\n\n  a. 77 Sunset Strip.\n  b. on Wistful Vista Street.\n  c. 334 Elm Street.\n  d. 1313 Mockingbird Lane.	Kookie 的地址是\n\n  a. 日落大道 77 號。\n  b. 思鄉街。\n  c. 榆樹街 334 號。\n  d. 知更鳥巷 1313 號。
"Who knows what evil lurks in the hearts of men?"\n\n  a. The Psychiatrist\n  b. The Shadow\n  c. The Creeper\n  d. Ingmar Bergman	"誰知道人心中有什麼邪惡？"\n\n  a. 心理醫生。\n  b. 影子俠。\n  c. 爬行者。\n  d. Ingmar Bergman。
Al Lowe is:\n\n  a. under 25.\n  b. pregnant.\n  c. never "carded."\n  d. a Woody Allen\n       impersonator.	Al Lowe 是：\n\n  a. 未滿 25。\n  b. 懷孕。\n  c. 從未被驗證身份。\n  d. Woody Allen\n       模仿者。
Frank Sinatra is a\n\n  a. female impersonator.\n  b. shy pacifist.\n  c. saloon singer.\n  d. distance runner.	Frank Sinatra 是\n\n  a. 女性模仿者。\n  b. 害羞和平主義者。\n  c. 酒吧歌手。\n  d. 長距離跑者。
Ralph Boysen invented\n\n  a. the boysenberry.\n  b. fins on 50's cars.\n  c. bell bottomed jeans.\n  d. the juke box.	Ralph Boysen 發明了\n\n  a. 波森莓。\n  b. 50 年代汽車的鰭。\n  c. 喇叭褲。\n  d. 點唱機。
The first man on the moon was\n\n  a. John Glenn.\n  b. Neil Diamond.\n  c. Neil Armstrong.\n  d. Jack Armstrong.	第一個踏上月球的人是\n\n  a. John Glenn。\n  b. Neil Diamond。\n  c. Neil Armstrong。\n  d. Jack Armstrong。
"Gone With The Wind" is about\n\n  a. outer space.\n  b. a bank robbery.\n  c. four hours long.\n  d. dust.	"亂世佳人" 關於\n\n  a. 外太空。\n  b. 銀行搶劫。\n  c. 四小時長。\n  d. 灰塵。
Who is not a sportscaster?\n\n  a. Jayne Kennedy\n  b. Howard Cosell\n  c. Jayne Mansfield\n  d. Frank Gifford	誰不是體育解說者？\n\n  a. Jayne Kennedy\n  b. Howard Cosell\n  c. Jayne Mansfield\n  d. Frank Gifford
Which is not a wine?\n\n  a. Colombard\n  b. Bon Aire\n  c. Cabernet\n  d. Muscatel	哪個不是葡萄酒？\n\n  a. Colombard\n  b. Bon Aire\n  c. Cabernet\n  d. Muscatel
Which is not a mountain range?\n\n  a. Cayman\n  b. Appalachian\n  c. Rockies\n  d. Himalayas	哪個不是山脈？\n\n  a. Cayman\n  b. Appalachian\n  c. Rockies\n  d. Himalayas
In the movie, "Paint Your Wagon," Clint Eastwood sang\n\n  a. "I Talk to the Trees"\n  b. "Go Ahead, Make My\n       Wagon"\n  c. "I If Had A Mayor"\n  d. None of the above.	在 "Paint Your Wagon"\n電影裡，Clint Eastwood\n唱了\n\n  a. "I Talk to the Trees"\n  b. "Go Ahead, Make My\n       Wagon"\n  c. "I If Had A Mayor"\n  d. 以上皆非。
The drink "Screwdriver" contains\n\n  a. tomato juice.\n  b. orange juice.\n  c. grapefruit juice.\n  d. borax.	"Screwdriver" 飲料\n含有\n\n  a. 番茄汁。\n  b. 柳橙汁。\n  c. 葡萄柚汁。\n  d. 硼砂。
Ronald Reagan's co-star in "Bedtime for Bonzo" was\n\n  a. a monkey.\n  b. Peter O'Toole.\n  c. Bonzo the Clown.\n  d. Marilyn Monroe.	Ronald Reagan 在\n"Bedtime for Bonzo"\n的合作演員是\n\n  a. 猴子。\n  b. Peter O'Toole。\n  c. Bonzo 小丑。\n  d. Marilyn Monroe。
The slogan "It takes two hands to handle a whopper" refers to\n\n  a. John Holmes.\n  b. a hamburger.\n  c. overstuffed grocery\n       bags.\n  d. fishing.	標語 "It takes two hands to\nhandle a whopper" 指的是\n\n  a. John Holmes。\n  b. 漢堡。\n  c. 塞滿的雜貨袋。\n  d. 釣魚。
If you arrived at a party wearing your birthday suit, you would\n\n  a. make many new friends.\n  b. be thrown out.\n  c. fit right in.\n  d. It depends on the party.	如果你穿著 birthday suit\n到派對，你會\n\n  a. 交到新朋友。\n  b. 被踢出去。\n  c. 很快融入。\n  d. 這取決於派對。
Cesar Chavez led a boycott of\n\n  a. grapes.\n  b. X-rated movies.\n  c. dirty magazines.\n  d. goods from South Africa.	Cesar Chavez 領導\n抵制\n\n  a. 葡萄。\n  b. 限制級電影。\n  c. 成人雜誌。\n  d. 南非商品。
James Brown is often referred to as\n\n  a. the Chairman of the\n       Board.\n  b. a great athlete.\n  c. the Velvet Fog.\n  d. the Godfather of Soul.	James Brown 常被稱為\n\n  a. 董事長。\n  b. 偉大運動員。\n  c. 絨毛霧先生。\n  d. 靈魂教父。
Who lost a daughter but gained a "meathead?"\n\n  a. George Jefferson\n  b. Ronald Reagan\n  c. Archie Bunker\n  d. Ted Knight	誰失去了女兒但得到了\n"笨蛋"？\n\n  a. George Jefferson\n  b. Ronald Reagan\n  c. Archie Bunker\n  d. Ted Knight
Which U. S. Secretary of State was born in Germany?\n\n  a. Dean Rusk\n  b. William Rogers\n  c. George Schultz\n  d. Henry Kissinger	哪位美國國務卿\n在德國出生？\n\n  a. Dean Rusk\n  b. William Rogers\n  c. George Schultz\n  d. Henry Kissinger
Who was the inventive genius behind the Apple computer?\n\n  a. Bill Gates\n  b. Steve Wozniak\n  c. Ken Williams\n  d. Steve Russell	Apple 電腦背後的\n天才發明家是\n\n  a. Bill Gates\n  b. Steve Wozniak\n  c. Ken Williams\n  d. Steve Russell
Dynamic logic = 2.	Dynamic logic = 2.
a	a
b	b
c	c
d	d
So far, so good.\n\nNow for the final question.	到此為止都不錯。\n\n現在是最後一題。
Question #%v96. Correct answer is %v93.	第 %v96 題。正確答案是 %v93。
Please answer a, b, c, or d: 	請選擇 a、b、c 或 d：
"Close Encounters of the Third Kind" is about\n\n  a. politics in third-world\n       countries.\n  b. homo- and heterosexual\n       sex.\n  c. creatures from outer\n       space.\n  d. a bicycle race across\n       Alaska.	"第三類接觸" 關於\n\n  a. 第三世界政治。\n  b. 同性與異性性愛。\n  c. 外太空生物。\n  d. 橫跨阿拉斯加的\n       自行車賽。
IBM stands for\n\n  a. Ittsy Bittsy Men.\n  b. International Business\n       Machines.\n  c. Italian Branch of the\n       Mafia.\n  d. Iranian Broom Makers.	IBM 代表\n\n  a. 小小男人。\n  b. 國際商業機器。\n  c. 義大利黑手黨分部。\n  d. 伊朗掃帚製造商。
Who was NOT in the movie "Easy Rider?"\n\n  a. Peter Fonda\n  b. Dennis Hopper\n  c. Karen Black\n  d. Karen Carpenter	誰不在 "Easy Rider"\n電影裡？\n\n  a. Peter Fonda\n  b. Dennis Hopper\n  c. Karen Black\n  d. Karen Carpenter
Las Vegas is famous for\n\n  a. its beaches.\n  b. being the capital of\n       Arizona.\n  c. gambling.\n  d. its weather.	拉斯維加斯因\n_____ 聞名\n\n  a. 海灘。\n  b. 是亞利桑納州首都。\n  c. 賭博。\n  d. 天氣。
The term "Working Girl" refers to\n\n  a. a secretary.\n  b. a lady of negotiable\n       virtue.\n  c. an industrious woman.\n  d. an employed female.	"上班女郎" 指的是\n\n  a. 秘書。\n  b. 出賣色相的女人。\n  c. 勤快女人。\n  d. 上班女性。
Making a "Hole in One" is\n\n  a. every golfer's dream.\n  b. too dirty to discuss\n       here.\n  c. something carpenters do.\n  d. best done with scissors.	"一桿進洞" 是\n\n  a. 每個高爾夫手的夢。\n  b. 太髒不好直說。\n  c. 木工的事。\n  d. 最好用剪刀做。
My boss is\n\n  a. a jerk.\n  b. a total jerk.\n  c. an absolute total jerk.\n  d. responsible for my\n       paycheck.	我的老闆是\n\n  a. 混蛋。\n  b. 徹底混蛋。\n  c. 絕對徹底混蛋。\n  d. 負責我的薪水。
How many programmers does it take to screw in a light bulb?\n\n  a. None, it's a hardware\n       problem.\n  b. None, programmers can't\n       fit in light bulbs.\n  c. 100. One to hold the\n       bulb and 99 to\n       debug the house.\n  d. None so far, but they'll\n       get to it\n       Real Soon Now.	需要幾個程式設計師\n才能裝燈泡？\n\n  a. 不需要，是硬體問題。\n  b. 不需要，程式設計師\n       塞不進燈泡。\n  c. 100 個。1 個拿燈泡，\n       99 個除蟲。\n  d. 目前還沒，但他們\n       遲早會做啦。

