%m10%w1?	%m10%w1?
%m10%w2?	%m10%w2?
%m10%w3?	%m10%w3?
%m10%w4?	%m10%w4?
%m10%w5?	%m10%w5?
%m10%w6?	%m10%w6?
%m10%w7?	%m10%w7?
%m10%w8?	%m10%w8?
Just walk there.	Just walk there.
Oh, %w1, %w1, %w1! Doesn't anybody _____ anymore?	Oh, %w1, %w1, %w1! Doesn't anybody _____ anymore?
%m53?	%m53?
%m53 %w3?	%m53 %w3?
What would you do with the %w2	What would you do with the %w2
How can you use that which you do not have?	How can you use that which you do not have?
You're not close enough.	You're not close enough.
You already have it.	You already have it.
Ok.	Ok.
That comes later.	That comes later.
Sierra 	Sierra 
About Larry	About Larry
Help   <F1>	Help   <F1>
-----------	-----------
Calculator 	Calculator 
Puzzle     	Puzzle     
File 	File 
Save     <F5>	Save     <F5>
Restore  <F7>	Restore  <F7>
-------------	-------------
Restart  <F9>	Restart  <F9>
Quit  <Alt-Z>	Quit  <Alt-Z>
Action 	Action 
Inventory  <Tab>	Inventory  <Tab>
See Object      	See Object      
Bodily Function 	Bodily Function 
Special 	Special 
Sound On/Off      <F2>	Sound On/Off      <F2>
Graphics Mode <Ctrl-R>	Graphics Mode <Ctrl-R>
Joystick      <Ctrl-J>	Joystick      <Ctrl-J>
Clock On/Off          	Clock On/Off          
Pause Game            	Pause Game            
Speed 	Speed 
Normal       	Normal       
Slow         	Slow         
Fast         	Fast         
Fastest      	Fastest      
Change  <F10>	Change  <F10>
Boss Key      <Ctrl-B>	Boss Key      <Ctrl-B>
\n\nYou've been playing for\n	\n\nYou've been playing for\n
Psssft. Psssft.	Psssft. Psssft.
Ahhh.	Ahhh.
Yep, it's a door!	Yep, it's a door!
Watch it, Larry. You're going to get your face slapped!	Watch it, Larry. You're going to get your face slapped!
Now?!	Now?!
Ok.\n\nYour thirst is gone, the bottle is empty, and your breath is revolting.	Ok.\n\nYour thirst is gone, the bottle is empty, and your breath is revolting.
"Hey, dork! You've got toilet paper stuck to your shoe!"	"Hey, dork! You've got toilet paper stuck to your shoe!"
"Phew! You smell like a used fire hydrant!"	"Phew! You smell like a used fire hydrant!"
Just a moment, please...	Just a moment, please...
2	2
+ 2	+ 2
---	---
  4	  4
   This is about the extent of\n    your mathematical abilities.	   This is about the extent of\n    your mathematical abilities.
---------------------	---------------------
|  1 |  2 |  3 |  4 |	|  1 |  2 |  3 |  4 |
|  5 |  6 |  7 |  8 |	|  5 |  6 |  7 |  8 |
|  9 | 10 | 11 | 12 |	|  9 | 10 | 11 | 12 |
| 13 | 14 | 15 | 16 |	| 13 | 14 | 15 | 16 |
|----|----|----|----|	|----|----|----|----|
How's this thing work, anyway?	How's this thing work, anyway?
Enter function: 	Enter function: 
You quickly turn around, %s11, and feel much better. A hint of a smile crosses your lips.	You quickly turn around, %s11, and feel much better. A hint of a smile crosses your lips.
Larry, the whole idea was to stop doing that!	Larry, the whole idea was to stop doing that!
do nothing	do nothing
You talk to yourself, and find you already know what you're going to say.	You talk to yourself, and find you already know what you're going to say.
Good idea. You carefully remove and dispose of it properly.	Good idea. You carefully remove and dispose of it properly.
You nonchalantly scrape it off.	You nonchalantly scrape it off.
Oh, no! You are now penniless. You hock your leisure suit, and spend the rest of your life on skid row eating discarded fast food.	Oh, no! You are now penniless. You hock your leisure suit, and spend the rest of your life on skid row eating discarded fast food.
The rest of your story is too sad to tell. Time for a little "R & R," Larry -- Restart or Restore!	The rest of your story is too sad to tell. Time for a little "R & R," Larry -- Restart or Restore!
It smells as bad as you imagined.	It smells as bad as you imagined.
It's not for using; IT'S A JOKE!!	It's not for using; IT'S A JOKE!!
Same to you, buddy!	Same to you, buddy!
And %w1 %w2 you, too!	And %w1 %w2 you, too!
Yeah, you probably would, too!	Yeah, you probably would, too!
