"Sure, we got lubbers!"	"當然有啦，潤滑液齊全！"
"Sorry, by law all we can deliver is wine. Ok, talk to ya again sometime. Bye!"	"對不起，法律規定我們只能送葡萄酒。好吧，改天再聊。拜！"
"Ok, I'll take it there, but I doubt if you ever see it! Bye!"	"好，我會送到那邊，但我懷疑你們看不到它！拜！"
555-8039	555-8039
5558039	5558039
555-6969	555-6969
5556969	5556969
(209) 683-6858	(209) 683-6858
209 683-6858	209 683-6858
2096836858	2096836858
209683-6858	209683-6858
209 6836858	209 6836858
You could see better if you'd walk inside.	你走進去就看得更清楚了。
It IS open.	"確實開著。"
"Hello," a pleasant voice responds. "Sierra On-Line."	"你好，"一個愉快的聲音回應，"Sierra On-Line。"
"We're not open right now, but if you'd call during business hours (and stop using this pretend telephone), we would be happy to sell you a 'Leisure Suit Larry Hint Book.'"	"我們現在不營業，但如果你在營業時間來電（並停止用這假電話），我們很樂意賣你一本'Leisure Suit Larry 提示書'。"

